,sample,formation,strat_m,87Sr_86Sr,87Sr_86Sr_selected,d13C,d18O,Mn_ppm,Sr_ppm,Mn/Sr,Mg/Ca,d13C_Srdata,age
57,,Grusdievbreen,300.3,,,6.5,,,,,,,814.2873417721526
58,,Grusdievbreen,307.0,,,6.2,,,,,,,814.0483314154206
59,,Grusdievbreen,311.3,,,6.7,,,,,,,813.8949367088613
60,,Grusdievbreen,315.5,,,4.8,,,,,,,813.7451093210593
61,,Grusdievbreen,317.2,,,5.5,,,,,,,813.6844649021871
62,,Grusdievbreen,330.7,,,5.6,,,,,,,813.2028768699661
63,,Grusdievbreen,335.4,,,5.6,,,,,,,813.035212888378
64,,Grusdievbreen,337.9,,,6.0,,,,,,,812.9460299194483
65,,Grusdievbreen,344.3,,,6.2,,,,,,,812.717721518988
66,,Grusdievbreen,349.0,,,6.4,,,,,,,812.5500575374
67,,Grusdievbreen,355.5,,,6.2,,,,,,,812.3181818181826
68,G33. 14.5 ,Grusdievbreen,357.5,0.70626,0.70626,,-6.3,10.0,2526.0,0.0,0,6.6,812.2468354430387
69,,Grusdievbreen,359.1,,,6.8,,,,,,,812.1897583429236
70,,Grusdievbreen,362.7,,,6.8,,,,,,,812.0613348676646
71,,Grusdievbreen,367.8,,,7.1,,,,,,,811.8794016110478
72,,Grusdievbreen,372.9,,,6.9,,,,,,,811.697468354431
73,,Grusdievbreen,384.9,,,6.5,,,,,,,811.2693901035678
74,,Grusdievbreen,389.4,,,7.7,,,,,,,811.1088607594942
75,,Grusdievbreen,399.3,,,6.7,,,,,,,810.7556962025321
76,G33. 62.2 ,Grusdievbreen,405.2,0.70628,0.70628,,-7.1,6.0,1692.0,0.0,0,7.3,810.5452243958578
77,,Grusdievbreen,405.6,,,7.6,,,,,,,810.5309551208289
78,,Grusdievbreen,410.2,,,3.7,,,,,,,810.3668584579981
79,,Grusdievbreen,411.8,,,6.1,,,,,,,810.309781357883
80,,Grusdievbreen,413.0,,,6.4,,,,,,,810.2669735327967
81,,Grusdievbreen,417.5,,,7.4,,,,,,,810.106444188723
82,,Grusdievbreen,421.8,,,6.4,,,,,,,809.9530494821637
83,,Grusdievbreen,427.0,,,7.1,,,,,,,809.7675489067897
84,,Grusdievbreen,427.0,,,7.6,,,,,,,809.7675489067897
85,,Grusdievbreen,430.9,,,7.8,,,,,,,809.6284234752592
86,G33. 91 ,Grusdievbreen,434.0,0.70652,0.70652,,-10.6,7.0,514.0,0.01,0.01,5.8,809.5178365937862
87,,Grusdievbreen,434.5,,,6.9,,,,,,,809.5000000000002
88,,Grusdievbreen,434.5,,,7.2,,,,,,,809.5
89,,Grusdievbreen,437.7,,,6.8,,,,,,,809.3667784297289
90,,Grusdievbreen,438.4,,,6.8,,,,,,,809.3376362112322
91,,Grusdievbreen,441.0,,,6.5,,,,,,,809.229393685387
92,G148. 126 ,Grusdievbreen,444.1,0.70625,0.70625,,-7.0,13.0,1720.0,0.01,0.01,6.4,809.1003352891869
93,,Grusdievbreen,445.4,,,6.2,,,,,,,809.0462140262642
94,,Grusdievbreen,445.6,,,6.1,,,,,,,809.0378876781223
95,,Grusdievbreen,448.8,,,6.3,,,,,,,808.9046661078512
96,,Grusdievbreen,449.0,,,6.4,,,,,,,808.8963397597092
97,,Grusdievbreen,451.0,,,6.2,,,,,,,808.8130762782898
98,,Grusdievbreen,452.8,,,5.2,,,,,,,808.7381391450124
99,G148. 136.3 ,Grusdievbreen,454.4,0.70624,0.70624,,-8.8,29.0,282.0,0.1,0.1,0.3,808.6715283598769
100,G33. 112.1 ,Grusdievbreen,455.1,0.7088399999999999,,,-11.7,105.0,134.0,0.78,0.75,-0.4,808.6423861413801
101,,Grusdievbreen,457.7,,,4.8,,,,,,,808.534143615535
102,,Grusdievbreen,458.0,,,4.7,,,,,,,808.521654093322
103,G148. 140.3 ,Grusdievbreen,458.4,0.70699,,,-9.9,41.0,96.0,0.42,0.4,-0.2,808.5050013970381
104,,Grusdievbreen,458.7,,,4.6,,,,,,,808.4925118748251
105,,Grusdievbreen,459.4,,,4.7,,,,,,,808.4633696563284
106,,Grusdievbreen,460.7,,,5.1,,,,,,,808.4092483934057
107,,Grusdievbreen,463.9,,,-0.1,,,,,,,808.2760268231347
108,,Grusdievbreen,464.3,,,-0.4,,,,,,,808.2593741268507
109,,Grusdievbreen,465.0,,,-0.2,,,,,,,808.230231908354
110,,Grusdievbreen,465.4,,,-0.3,,,,,,,808.21357921207
111,,Grusdievbreen,465.9,,,-0.3,,,,,,,808.1927633417152
112,,Grusdievbreen,467.0,,,-0.6,,,,,,,808.1469684269346
113,G148. 149.2 ,Grusdievbreen,467.3,0.7064,,,-8.4,45.0,271.0,0.17,0.07,-1.5,808.1344789047216
114,,Grusdievbreen,467.5,,,-0.6,,,,,,,808.1261525565797
115,,Grusdievbreen,468.4,,,-0.6,,,,,,,808.0886839899409
116,,Grusdievbreen,469.8,,,-0.4,,,,,,,808.0303995529473
117,,Grusdievbreen,471.5,,,-0.8,,,,,,,807.9596255937408
118,G33. 131.7 ,Grusdievbreen,474.7,0.70644,0.70644,,-8.3,14.0,594.0,0.02,0.02,-1,807.8264040234698
119,,Grusdievbreen,476.3,,,-0.6,,,,,,,807.7597932383343
120,G148. 158.7 ,Grusdievbreen,476.8,0.70635,0.70635,,-8.1,13.0,696.0,0.02,0.02,-1.2,807.7389773679795
121,,Grusdievbreen,480.5,,,-1.0,,,,,,,807.5849399273536
122,,Grusdievbreen,481.2,,,-1.0,,,,,,,807.5557977088569
123,,Grusdievbreen,481.7,,,-0.8,,,,,,,807.5349818385021
124,,Grusdievbreen,482.5,,,-1.1,,,,,,,807.5016764459343
125,,Grusdievbreen,483.2,,,-1.0,,,,,,,807.4725342274376
126,,Grusdievbreen,483.9,,,-1.2,,,,,,,807.4433920089408
127,,Grusdievbreen,484.7,,,-1.2,,,,,,,807.4100866163731
128,,Grusdievbreen,485.7,,,-1.2,,,,,,,807.3684548756634
129,,Grusdievbreen,486.7,,,-1.3,,,,,,,807.3268231349537
130,,Grusdievbreen,487.8,,,-1.2,,,,,,,807.281028220173
131,G33. 145.9 ,Grusdievbreen,488.9,0.70643,0.70643,,-8.3,5.0,1237.0,0.0,0,-1.1,807.2352333053923
132,,Grusdievbreen,488.9,,,-1.4,,,,,,,807.2352333053923
133,,Grusdievbreen,490.6,,,-1.3,,,,,,,807.1644593461858
134,,Grusdievbreen,493.7,,,-1.2,,,,,,,807.0354009499857
135,,Grusdievbreen,498.1,,,-1.1,,,,,,,806.8522212908631
136,,Grusdievbreen,499.6,,,-1.4,,,,,,,806.7897736797986
137,,Grusdievbreen,500.9,,,-1.4,,,,,,,806.735652416876
138,,Grusdievbreen,503.3,,,-1.2,,,,,,,806.6357362391727
139,,Grusdievbreen,507.5,,,-1.4,,,,,,,806.4608829281921
140,,Grusdievbreen,508.6,,,-1.4,,,,,,,806.4150880134114
141,,Grusdievbreen,510.6,,,-1.3,,,,,,,806.331824531992
142,,Grusdievbreen,512.2,,,-1.4,,,,,,,806.2652137468565
143,,Grusdievbreen,518.7,,,-1.3,,,,,,,805.9946074322435
144,,Grusdievbreen,522.9,,,-1.1,,,,,,,805.8197541212628
145,,Grusdievbreen,535.3,,,-0.1,,,,,,,805.3035205364625
146,,Grusdievbreen,541.3,,,-1.1,,,,,,,805.0537300922043
147,,Grusdievbreen,545.6,,,-1.0,,,,,,,804.8747136071527
148,M9. 55 ,Grusdievbreen,546.7,0.7064,0.7064,,-9.2,3.0,2283.0,0.0,0,-0.7,804.828918692372
149,,Grusdievbreen,549.5,,,-0.8,,,,,,,804.7123498183848
150,,Grusdievbreen,554.5,,,-0.3,,,,,,,804.5041911148363
151,,Grusdievbreen,557.9,,,-0.7,,,,,,,804.3626431964234
152,,Grusdievbreen,560.8,,,-0.8,,,,,,,804.2419111483653
153,,Grusdievbreen,570.8,,,-0.4,,,,,,,803.8255937412683
154,,Grusdievbreen,572.8,,,-0.3,,,,,,,803.7423302598489
155,M9. 83.4 ,Grusdievbreen,575.1,0.70641,0.70641,,-8.5,5.0,2030.0,0.0,0,-0.3,803.6465772562166
156,,Grusdievbreen,577.9,,,-0.3,,,,,,,803.5300083822294
157,,Grusdievbreen,583.0,,,0.1,,,,,,,803.3176865046099
158,,Grusdievbreen,587.6,,,-0.7,,,,,,,803.1261804973453
159,,Grusdievbreen,595.5,,,-0.2,,,,,,,802.7972897457388
160,,Grusdievbreen,598.7,,,-0.8,,,,,,,802.6640681754677
161,G341. 146.6 ,Grusdievbreen,599.4,0.7063699999999999,0.7063699999999999,,-6.9,18.0,1481.0,0.01,0.01,0.1,802.634925956971
162,,Grusdievbreen,602.4,,,-0.1,,,,,,,802.5100307348418
163,,Grusdievbreen,605.2,,,0.0,,,,,,,802.3934618608547
164,,Grusdievbreen,605.5,,,0.1,,,,,,,802.3809723386418
165,,Grusdievbreen,614.2,,,-1.5,,,,,,,802.0187761944674
166,,Grusdievbreen,614.8,,,0.2,,,,,,,801.9937971500416
167,M9. 125.6 ,Grusdievbreen,617.3,0.7066,0.7066,,-8.5,4.0,1242.0,0.0,0,0.6,801.8897177982674
168,,Grusdievbreen,618.5,,,0.4,,,,,,,801.8397597094157
169,,Grusdievbreen,623.9,,,0.1,,,,,,,801.6149483095834
170,,Grusdievbreen,630.4,,,0.5,,,,,,,801.3443419949704
171,G341. 178 ,Grusdievbreen,630.8,0.7064199999999999,0.7064199999999999,,-7.3,14.0,806.0,0.02,0.02,-0.3,801.3276892986864
172,,Grusdievbreen,630.9,,,0.2,,,,,,,801.3235261246155
173,,Grusdievbreen,635.9,,,0.5,,,,,,,801.1153674210669
174,,Grusdievbreen,640.2,,,-0.8,,,,,,,800.9363509360153
175,,Grusdievbreen,644.3,,,-0.5,,,,,,,800.7656607991055
176,,Grusdievbreen,648.4,,,-0.2,,,,,,,800.5949706621957
177,,Grusdievbreen,652.4,,,-0.2,,,,,,,800.4284436993569
178,,Grusdievbreen,655.7,,,-0.3,,,,,,,800.2910589550149
179,,Grusdievbreen,656.7,,,-0.4,,,,,,,800.2494272143052
180,G341. 205.1 ,Grusdievbreen,657.9,0.70644,0.70644,,-7.3,28.0,368.0,0.08,0.07,-2.1,800.1994691254536
181,,Svanbergfjellet,661.0,,,0.0,,,,,,,800.0704107292535
182,,Grusdievbreen,661.5,,,-0.1,,,,,,,800.0495948588987
183,,Grusdievbreen,665.7,,,-0.1,,,,,,,799.874741547918
184,,Svanbergfjellet,666.6,,,0.0,,,,,,,799.8372729812793
185,G341. 215.6 ,Svanbergfjellet,668.4,0.70634,0.70634,,-6.9,18.0,930.0,0.02,0.02,-0.7,799.7623358480018
186,,Svanbergfjellet,670.0,,,0.5,,,,,,,799.6957250628664
187,,Grusdievbreen,671.7,,,0.2,,,,,,,799.6249511036599
188,,Svanbergfjellet,673.8,,,0.1,,,,,,,799.5375244481695
189,,Svanbergfjellet,678.6,,,-0.1,,,,,,,799.337692092763
190,,Grusdievbreen,678.9,,,0.2,,,,,,,799.32520257055
191,,Svanbergfjellet,682.4,,,-0.3,,,,,,,799.1794914780661
192,,Grusdievbreen,683.0,,,-0.1,,,,,,,799.1545124336403
193,,Grusdievbreen,687.2,,,-0.4,,,,,,,798.9796591226597
194,,Svanbergfjellet,687.5,,,-0.7,,,,,,,798.9671696004467
195,,Grusdievbreen,692.1,,,-0.2,,,,,,,798.7756635931821
196,,Svanbergfjellet,692.3,,,0.8,,,,,,,798.7673372450402
197,,Svanbergfjellet,696.4,,,-1.2,,,,,,,798.5966471081304
198,,Svanbergfjellet,701.3,,,-1.3,,,,,,,798.3926515786528
199,G341. 251.6 ,Svanbergfjellet,704.4,0.70673,,,-6.2,38.0,188.0,0.2,0.19,-1.4,798.2635931824527
200,,Svanbergfjellet,706.0,,,-0.8,,,,,,,798.1969823973172
201,,Svanbergfjellet,710.5,,,-1.9,,,,,,,798.0096395641236
202,,Svanbergfjellet,713.5,,,-1.0,,,,,,,797.8847443419945
203,,Svanbergfjellet,716.3,,,-1.9,,,,,,,797.7681754680074
204,,Svanbergfjellet,724.1,,,-3.2,,,,,,,797.4434478904717
205,,Svanbergfjellet,726.3,,,-2.4,,,,,,,797.3518580609103
206,,Svanbergfjellet,732.1,,,-2.1,,,,,,,797.1103939647941
207,,Svanbergfjellet,733.8,,,-3.6,,,,,,,797.0396200055876
208,G341. 282.5 ,Svanbergfjellet,735.3,0.70635,,,-5.5,38.0,536.0,0.07,0.07,0,796.9771723945231
209,,Svanbergfjellet,737.2,,,-2.6,,,,,,,796.8980720871747
210,,Svanbergfjellet,743.8,,,-3.0,,,,,,,796.6233025984907
211,G341. 294.5 ,Svanbergfjellet,747.3,0.70698,,,-4.6,63.0,127.0,0.5,0.48,-2,796.4775915060068
212,,Svanbergfjellet,749.4,,,-2.1,,,,,,,796.3901648505164
213,,Svanbergfjellet,752.0,,,-1.6,,,,,,,796.2819223246712
214,G341. 300 ,Svanbergfjellet,752.8,0.70681,,,-5.1,49.0,233.0,0.21,0.2,-3,796.2486169321035
215,,Svanbergfjellet,757.6,,,-2.2,,,,,,,796.0487845766969
216,,Svanbergfjellet,761.8,,,-2.7,,,,,,,795.8739312657162
217,,Svanbergfjellet,765.6,,,-3.1,,,,,,,795.7157306510194
218,,Svanbergfjellet,773.8,,,-1.1,,,,,,,795.3743503771999
219,,Svanbergfjellet,779.6,,,-1.4,,,,,,,795.1328862810836
220,,Svanbergfjellet,784.5,,,-0.9,,,,,,,794.9288907516061
221,,Svanbergfjellet,792.4,,,1.7,,,,,,,794.6
222,,Svanbergfjellet,792.5,,,1.8,,,,,,,794.5963850873054
223,,Svanbergfjellet,792.8,,,1.8,,,,,,,794.5855403492214
224,,Svanbergfjellet,793.2,,,1.7,,,,,,,794.5710806984428
225,,Svanbergfjellet,793.8,,,1.8,,,,,,,794.5493912222747
226,,Svanbergfjellet,794.3,,,2.0,,,,,,,794.5313166588014
227,,Svanbergfjellet,794.8,,,2.1,,,,,,,794.5132420953281
228,,Svanbergfjellet,795.2,,,3.1,,,,,,,794.4987824445494
229,,Svanbergfjellet,795.5,,,2.1,,,,,,,794.4879377064655
230,,Svanbergfjellet,795.9,,,1.7,,,,,,,794.4734780556868
231,,Svanbergfjellet,796.5,,,2.1,,,,,,,794.4517885795187
232,,Svanbergfjellet,796.9,,,1.4,,,,,,,794.43732892874
233,,Svanbergfjellet,797.6,,,3.0,,,,,,,794.4120245398774
234,,Svanbergfjellet,798.3,,,2.7,,,,,,,794.3867201510147
235,,Svanbergfjellet,799.2,,,2.8,,,,,,,794.3541859367627
236,,Svanbergfjellet,799.9,,,2.3,,,,,,,794.3288815479001
237,,Svanbergfjellet,801.2,,,2.6,,,,,,,794.2818876828694
238,,Svanbergfjellet,801.5,,,2.4,,,,,,,794.2710429447854
239,,Svanbergfjellet,802.4,,,2.3,,,,,,,794.2385087305335
240,,Svanbergfjellet,803.0,,,2.7,,,,,,,794.2168192543654
241,,Svanbergfjellet,803.4,,,2.2,,,,,,,794.2023596035867
242,,Svanbergfjellet,804.6,,,3.6,,,,,,,794.1589806512508
243,,Svanbergfjellet,805.1,,,3.7,,,,,,,794.1409060877775
244,G19. 25.7 ,Svanbergfjellet,805.7,0.70758,,,-6.9,78.0,118.0,0.66,0.63,2.7,794.1192166116094
245,,Svanbergfjellet,805.7,,,3.4,,,,,,,794.1192166116094
246,,Svanbergfjellet,806.7,,,2.8,,,,,,,794.0830674846627
247,,Svanbergfjellet,806.7,,,2.9,,,,,,,794.0830674846627
248,,Svanbergfjellet,807.7,,,2.8,,,,,,,794.046918357716
249,,Svanbergfjellet,808.4,,,2.9,,,,,,,794.0216139688533
250,,Svanbergfjellet,808.7,,,2.8,,,,,,,794.0107692307694
251,,Svanbergfjellet,809.5,,,2.7,,,,,,,793.981849929212
252,,Svanbergfjellet,809.8,,,3.0,,,,,,,793.971005191128
253,,Svanbergfjellet,810.0,,,3.0,,,,,,,793.9637753657387
254,,Svanbergfjellet,810.7,,,2.7,,,,,,,793.938470976876
255,,Svanbergfjellet,811.5,,,2.8,,,,,,,793.9095516753187
256,,Svanbergfjellet,813.8,,,3.0,,,,,,,793.8264086833414
257,,Svanbergfjellet,816.1,,,3.3,,,,,,,793.7432656913641
258,,Svanbergfjellet,818.9,,,3.7,,,,,,,793.6420481359133
259,,Svanbergfjellet,821.7,,,1.0,,,,,,,793.5408305804626
260,,Svanbergfjellet,825.1,,,2.5,,,,,,,793.417923548844
261,,Svanbergfjellet,827.7,,,3.5,,,,,,,793.3239358187826
262,G129.6 26.9 ,Svanbergfjellet,830.0,0.70762,,,-7.2,,,,,3.1,793.2407928268053
263,,Svanbergfjellet,830.7,,,2.8,,,,,,,793.2154884379427
264,,Svanbergfjellet,833.7,,,3.2,,,,,,,793.1070410571026
265,,Svanbergfjellet,836.7,,,3.4,,,,,,,792.9985936762625
266,G37. 27.8 ,Svanbergfjellet,837.0,0.70644,,,,74.0,780.0,0.09,0.52,,792.9877489381786
267,G37. 28.8 ,Svanbergfjellet,838.0,0.7065100000000001,,,-6.5,75.0,739.0,0.1,0.27,4.1,792.9515998112319
268,,Svanbergfjellet,840.2,,,5.9,,,,,,,792.8720717319492
269,,Svanbergfjellet,842.2,,,5.9,,,,,,,792.7997734780558
270,G19. 57.2 ,Svanbergfjellet,843.5,0.70629,,,-6.8,60.0,964.0,0.06,0.06,5.9,792.7527796130252
271,,Svanbergfjellet,845.1,,,5.2,,,,,,,792.6949410099105
272,,Svanbergfjellet,848.9,,,4.6,,,,,,,792.5575743275132
273,,Svanbergfjellet,850.9,,,5.6,,,,,,,792.4852760736198
274,G19. 71.8 ,Svanbergfjellet,851.8,0.70625,,,-6.3,72.0,993.0,0.07,0.07,6,792.4527418593678
275,,Svanbergfjellet,853.5,,,5.7,,,,,,,792.3912883435585
276,,Svanbergfjellet,854.0,,,5.9,,,,,,,792.3732137800852
277,,Svanbergfjellet,856.0,,,6.7,,,,,,,792.3009155261918
278,,Svanbergfjellet,856.8,,,6.0,,,,,,,792.2719962246344
279,G37. 53.0 ,Svanbergfjellet,861.0,0.70617,,,-6.7,18.0,1886.0,0.01,0.03,6.2,792.1201698914584
280,,Svanbergfjellet,863.0,,,6.2,,,,,,,792.0478716375651
281,,Svanbergfjellet,866.2,,,5.9,,,,,,,791.9321944313357
282,,Svanbergfjellet,869.2,,,6.1,,,,,,,791.8237470504956
283,,Svanbergfjellet,872.0,,,6.1,,,,,,,791.7225294950449
284,,Svanbergfjellet,875.1,,,7.8,,,,,,,791.6104672015102
285,,Svanbergfjellet,875.7,,,4.3,,,,,,,791.5887777253422
286,,Svanbergfjellet,878.1,,,6.8,,,,,,,791.5020198206702
287,,Svanbergfjellet,881.9,,,5.0,,,,,,,791.3646531382728
288,,Svanbergfjellet,885.0,,,4.7,,,,,,,791.2525908447382
289,,Svanbergfjellet,888.0,,,5.4,,,,,,,791.1441434638981
290,,Svanbergfjellet,891.0,,,5.0,,,,,,,791.035696083058
291,,Svanbergfjellet,894.0,,,4.4,,,,,,,790.927248702218
292,,Svanbergfjellet,896.5,,,4.4,,,,,,,790.8368758848513
293,G341. 445.3 ,Svanbergfjellet,898.1,0.7066100000000001,,,-6.1,30.0,1025.0,0.03,0.03,4.3,790.7790372817367
294,,Svanbergfjellet,899.8,,,5.1,,,,,,,790.7175837659273
295,,Svanbergfjellet,901.0,,,4.2,,,,,,,790.6742048135914
296,,Svanbergfjellet,904.3,,,4.8,,,,,,,790.5549126946673
297,,Svanbergfjellet,905.6,,,4.9,,,,,,,790.5079188296367
298,,Svanbergfjellet,907.2,,,4.7,,,,,,,790.450080226522
299,,Svanbergfjellet,909.2,,,4.3,,,,,,,790.3777819726287
300,,Svanbergfjellet,911.7,,,4.4,,,,,,,790.287409155262
301,G341. 464.5 ,Svanbergfjellet,917.3,0.7065899999999999,,,-6.3,106.0,106.0,1.0,0.95,4.9,790.0849740443607
302,G35. 0.3 ,Svanbergfjellet,932.0,0.70634,,,-8.3,9.0,942.0,0.01,0.02,5.2,789.5535818782446
303,,Svanbergfjellet,932.0,,,5.2,,,,,,,789.5535818782446
304,,Svanbergfjellet,935.4,,,6.9,,,,,,,789.430674846626
305,,Svanbergfjellet,938.3,,,5.0,,,,,,,789.3258423784806
306,,Svanbergfjellet,943.3,,,2.8,,,,,,,789.1450967437472
307,,Svanbergfjellet,945.4,,,3.5,,,,,,,789.0691835771592
308,,Svanbergfjellet,947.8,,,4.0,,,,,,,788.9824256724871
309,,Svanbergfjellet,951.1,,,4.0,,,,,,,788.8631335535631
310,,Svanbergfjellet,955.0,,,6.1,,,,,,,788.722151958471
311,G35. 25.8 ,Svanbergfjellet,955.5,0.70649,,,-7.5,75.0,739.0,0.1,0.27,4.9,788.7040773949977
312,,Svanbergfjellet,957.5,,,4.9,,,,,,,788.6317791411044
313,,Svanbergfjellet,965.7,,,4.4,,,,,,,788.3353563001417
314,,Svanbergfjellet,966.7,,,4.8,,,,,,,788.299207173195
315,,Svanbergfjellet,969.2,,,4.9,,,,,,,788.2088343558283
316,,Svanbergfjellet,972.7,,,4.9,,,,,,,788.082312411515
317,,Svanbergfjellet,978.7,,,4.3,,,,,,,787.865417649835
318,,Svanbergfjellet,982.4,,,5.0,,,,,,,787.7316658801323
319,,Svanbergfjellet,992.6,,,5.6,,,,,,,787.3629447852762
320,,Svanbergfjellet,996.7,,,5.7,,,,,,,787.2147333647948
321,,Svanbergfjellet,1006.9,,,4.1,,,,,,,786.8460122699388
322,,Svanbergfjellet,1011.4,,,3.9,,,,,,,786.6833411986788
323,,Svanbergfjellet,1016.4,,,4.1,,,,,,,786.5025955639454
324,,Svanbergfjellet,1020.0,,,4.0,,,,,,,786.3724587069374
325,,Svanbergfjellet,1024.0,,,4.4,,,,,,,786.2278621991508
326,,Svanbergfjellet,1030.3,,,4.1,,,,,,,786.0001226993867
327,,Svanbergfjellet,1031.2,,,4.2,,,,,,,785.9675884851347
328,,Svanbergfjellet,1033.9,,,4.3,,,,,,,785.8699858423787
329,,Svanbergfjellet,1035.4,,,4.1,,,,,,,785.8157621519587
330,,Svanbergfjellet,1036.3,,,3.8,,,,,,,785.7832279377067
331,,Svanbergfjellet,1036.9,,,3.8,,,,,,,785.7615384615386
332,,Svanbergfjellet,1037.9,,,3.9,,,,,,,785.7253893345919
333,,Svanbergfjellet,1039.3,,,5.1,,,,,,,785.6747805568666
334,,Svanbergfjellet,1040.8,,,3.4,,,,,,,785.6205568664466
335,,Svanbergfjellet,1044.5,,,4.1,,,,,,,785.4868050967439
336,,Svanbergfjellet,1046.4,,,4.2,,,,,,,785.4181217555451
337,,Svanbergfjellet,1048.5,,,4.0,,,,,,,785.3422085889571
338,,Svanbergfjellet,1049.7,,,3.2,,,,,,,785.2988296366211
339,,Svanbergfjellet,1050.9,,,4.3,,,,,,,785.2554506842852
340,,Svanbergfjellet,1054.2,,,3.5,,,,,,,785.1361585653611
341,,Svanbergfjellet,1065.5,,,4.9,,,,,,,784.7276734308638
342,,Svanbergfjellet,1066.5,,,4.9,,,,,,,784.691524303917
343,,Svanbergfjellet,1074.0,,,5.6,,,,,,,784.420405851817
344,,Svanbergfjellet,1075.0,,,5.2,,,,,,,784.3842567248703
345,,Svanbergfjellet,1080.6,,,5.5,,,,,,,784.181821613969
