,sample,formation,strat_m,87Sr_86Sr,87Sr_86Sr_selected,d13C,d18O,Mn_ppm,Sr_ppm,Mn/Sr,Mg/Ca,d13C_Srdata,age
0,,Grusdievbreen,0.0,,,0.8,,,,,,There appears to be a slight discrepancy between the composite strat levels accompanying the Sr data and that for the d13C data. This needs to be resolved in order to integrate the Sr and C composites.,825
1,,Grusdievbreen,3.5,,,1.5,,,,,,,824.8751438434982
2,,Grusdievbreen,11.8,,,2.0,,,,,,,824.5790563866512
3,,Grusdievbreen,14.4,,,2.7,,,,,,,824.4863060989643
4,,Grusdievbreen,23.7,,,1.5,,,,,,,824.1545454545454
5,,Grusdievbreen,28.7,,,2.5,,,,,,,823.9761795166859
6,,Grusdievbreen,30.9,,,1.4,,,,,,,823.8976985040276
7,,Grusdievbreen,41.0,,,4.1,,,,,,,823.5373993095512
8,,Grusdievbreen,62.0,,,3.9,,,,,,,822.7882623705409
9,,Grusdievbreen,70.4,,,4.5,,,,,,,822.4886075949368
10,,Grusdievbreen,78.2,,,8.4,,,,,,,822.2103567318758
11,,Grusdievbreen,87.2,,,6.5,,,,,,,821.8892980437284
12,,Grusdievbreen,95.7,,,5.2,,,,,,,821.5860759493671
13,,Grusdievbreen,106.0,,,5.6,,,,,,,821.2186421173764
14,,Grusdievbreen,115.5,,,6.5,,,,,,,820.8797468354431
15,,Grusdievbreen,125.0,,,3.7,,,,,,,820.5408515535099
16,,Grusdievbreen,132.8,,,5.7,,,,,,,820.262600690449
17,,Grusdievbreen,138.0,,,3.8,,,,,,,820.0771001150749
18,,Grusdievbreen,146.0,,,5.2,,,,,,,819.7917146144996
19,,Grusdievbreen,154.0,,,3.3,,,,,,,819.5063291139243
20,,Grusdievbreen,205.0,,,2.9,,,,,,,817.6869965477563
21,,Grusdievbreen,212.0,,,3.2,,,,,,,817.4372842347528
22,G336. 219.6 ,Grusdievbreen,219.6,0.71078,,,-6.4,,,, ,4.1,817.1661680092062
23,,Grusdievbreen,226.0,,,4.3,,,,,,,816.937859608746
24,,Grusdievbreen,247.0,,,4.8,,,,,,,816.1887226697356
25,,Grusdievbreen,259.6,,,1.7,,,,,,,815.7392405063295
26,,Grusdievbreen,265.3,,,3.3,,,,,,,815.5359033371695
27,,Grusdievbreen,265.5,,,3.6,,,,,,,815.5287686996552
28,,Grusdievbreen,265.8,,,3.5,,,,,,,815.5180667433837
29,,Grusdievbreen,265.9,,,3.6,,,,,,,815.5144994246265
30,,Grusdievbreen,266.2,,,3.5,,,,,,,815.503797468355
31,,Grusdievbreen,266.5,,,4.2,,,,,,,815.4930955120834
32,,Grusdievbreen,266.7,,,4.0,,,,,,,815.4859608745691
33,,Grusdievbreen,267.2,,,4.0,,,,,,,815.4681242807831
34,,Grusdievbreen,267.5,,,4.0,,,,,,,815.4574223245115
35,,Grusdievbreen,267.8,,,3.8,,,,,,,815.44672036824
36,,Grusdievbreen,268.0,,,4.1,,,,,,,815.4395857307256
37,,Grusdievbreen,270.8,,,4.4,,,,,,,815.3397008055242
38,,Grusdievbreen,271.2,,,4.4,,,,,,,815.3254315304954
39,,Grusdievbreen,271.8,,,4.2,,,,,,,815.3040276179522
40,,Grusdievbreen,272.1,,,4.9,,,,,,,815.2933256616807
41,,Grusdievbreen,272.6,,,4.2,,,,,,,815.2754890678947
42,,Grusdievbreen,272.9,,,4.7,,,,,,,815.2647871116231
43,,Grusdievbreen,273.6,,,4.8,,,,,,,815.2398158803228
44,,Grusdievbreen,273.9,,,5.0,,,,,,,815.2291139240513
45,,Grusdievbreen,274.5,,,5.0,,,,,,,815.2077100115081
46,,Grusdievbreen,275.5,,,4.8,,,,,,,815.1720368239362
47,,Grusdievbreen,276.5,,,5.3,,,,,,,815.1363636363643
48,,Grusdievbreen,277.5,,,5.2,,,,,,,815.1006904487924
49,,Grusdievbreen,279.1,,,5.4,,,,,,,815.0436133486774
50,,Grusdievbreen,280.4,,,5.5,,,,,,,814.9972382048338
51,G336. 281.7 ,Grusdievbreen,281.7,0.70627,0.70627,,-5.7,17.0,2278.0,0.01,0.01,7,814.9508630609903
52,,Grusdievbreen,282.5,,,5.6,,,,,,,814.9223245109328
53,,Grusdievbreen,289.1,,,5.9,,,,,,,814.686881472958
54,,Grusdievbreen,291.4,,,5.7,,,,,,,814.6048331415426
55,,Grusdievbreen,294.0,,,6.1,,,,,,,814.5120828538556
56,,Grusdievbreen,297.9,,,6.1,,,,,,,814.3729574223252
