,section,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,87Sr/86Sr_filtered,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca,age
229,G12,G12-356.8,Little Dal,356.8,638.0,3.87,-5.81,,,19.68,28.92,564.0,6303.09,372792.08,403.88,595.26,0.11,0.03,847.9499786233436
230,G12,G12-360.5,Little Dal,360.5,641.7,3.69,-6.05,,,15.31,21.82,668.61,6277.98,335314.39,216.98,538.33,0.16,0.03,847.7641085934163
231,G12,G12-363.5,Little Dal,363.5,644.7,3.92,-5.76,,,42.51,36.44,715.29,12848.95,404230.2,459.31,473.75,0.13,0.05,847.6134031637455
232,G12,G12-365.8,Little Dal,365.8,647.0,3.98,-7.3,,,50.09,36.2,403.59,3126.01,393554.6,248.8,411.89,0.23,0.01,847.4978623343312
233,G12,G12-369.2,Little Dal,369.2,650.4,4.02,-6.42,,,59.88,45.46,1301.98,28243.16,303762.15,194.31,396.9,0.37,0.15,847.3270628473709
234,G12,G12-372.7,Little Dal,372.7,653.9,4.43,-6.32,,,51.83,31.15,491.34,9513.05,348980.91,394.21,720.71,0.13,0.04,847.1512398460883
235,G12,G12-375.8,Little Dal,375.8,657.0,4.33,-6.63,,,17.82,15.68,389.41,2545.34,333801.78,246.85,699.35,0.1,0.01,846.9955109020951
236,G12,G12-377.7,Little Dal,377.7,658.9,4.01,-5.99,0.70613,0.70613,19.72,25.86,599.74,3660.83,304555.63,388.57,552.59,0.11,0.02,846.9000641299702
237,G12,G12-380.1,Little Dal,380.1,661.3,4.49,-6.7,,,20.59,19.28,393.81,7133.93,324671.22,269.08,468.86,0.11,0.04,846.7794997862336
238,G12,G12-382.8,Little Dal,382.8,664.0,4.11,-5.76,,,31.2,56.49,1167.09,39054.18,294337.33,177.7,451.09,0.51,0.22,846.6438648995298
239,G12,G12-385.7,Little Dal,385.7,666.9,4.15,-6.11,,,35.43,40.4,415.6,4717.96,385491.31,301.84,419.59,0.21,0.02,846.4981829841814
240,G12,G12-387.5,Little Dal,387.5,668.7,4.21,-6.59,,,35.24,39.65,369.84,4115.23,385408.42,382.62,475.93,0.17,0.02,846.4077597263789
241,G12,G12-390.2,Little Dal,390.2,671.4,3.13,-6.67,,,,,,,,,,,,846.2721248396751
242,G12,G12-393.5,Little Dal,393.5,674.7,4.42,-6.46,,,17.36,26.77,562.74,16485.49,302356.97,201.7,486.61,0.21,0.09,846.1063488670372
243,G12,G12-396.8,Little Dal,396.8,678.0,4.88,-6.53,,,14.7,49.82,1317.97,74543.85,227427.06,95.29,553.3,0.83,0.54,845.9405728943993
244,G12,G12-399.2,Little Dal,399.2,680.4,4.48,-6.9,,,17.08,63.6,996.25,33038.17,295615.35,160.44,487.16,0.63,0.18,845.8200085506627
245,G12,G12-401.9,Little Dal,401.9,683.1,4.46,-6.64,,,18.78,34.73,1338.55,62316.19,222272.22,78.94,418.26,0.7,0.46,845.6843736639589
246,G12,G12-404.9,Little Dal,404.9,686.1,3.89,-7.35,,,18.07,3.19,219.36,3264.8,334640.19,249.51,451.69,0.02,0.02,845.5336682342881
247,G12,G12-407.2,Little Dal,407.2,688.4,4.25,-7.69,,,18.57,14.07,524.58,7204.07,332879.53,320.26,503.64,0.07,0.04,845.4181274048739
248,G12,G12-411.6,Little Dal,411.6,692.8,3.84,-7.08,,,22.57,-8.09,208.14,4103.53,337286.33,382.8,474.28,-0.03,0.02,845.1970927746901
249,G12,G12-414.8,Little Dal,414.8,696.0,4.54,-6.61,,,19.11,32.67,1128.98,57442.19,261344.0,149.99,506.35,0.35,0.36,845.0363403163745
250,G12,G12-417.6,Little Dal,417.6,698.8,4.48,-7.06,0.7055,0.705495,16.59,-4.91,165.42,3931.0,322945.3,572.52,536.7,-0.01,0.02,844.8956819153485
251,G12,G12-419.9,Little Dal,419.9,701.1,4.14,-6.81,,,18.71,6.91,245.79,5432.16,318842.33,439.37,467.91,0.03,0.03,844.7801410859342
252,G12,G12-422.2,Little Dal,422.2,703.4,3.59,-6.82,,,20.66,3.52,246.56,3233.31,322471.81,294.16,509.45,0.02,0.02,844.66460025652
253,G12,G12-424.9,Little Dal,424.9,706.1,4.1,-6.77,,,23.96,13.47,475.75,9426.87,314465.11,404.51,552.5,0.05,0.05,844.5289653698162
254,G12,G12-427.9,Little Dal,427.9,709.1,3.51,-7.0,,,19.61,32.36,696.89,4536.68,331110.76,159.96,499.28,0.32,0.02,844.3782599401454
255,G12,G12-431.0,Little Dal,431,712.2,2.61,-6.89,,,17.14,65.34,1154.74,2994.43,301660.06,186.64,490.58,0.56,0.02,844.2225309961523
256,G12,G12-435.6,Little Dal,435.6,716.8,3.5,-6.85,,,15.27,33.0,563.12,3311.59,297862.13,383.91,546.79,0.14,0.02,843.9914493373237
257,G12,G12-437.3,Little Dal,437.3,718.5,3.57,-6.53,,,16.67,30.56,1063.35,10530.91,290513.85,237.42,555.66,0.21,0.06,843.9060495938436
258,G12,G12-440.2,Little Dal,440.2,721.4,3.67,-7.01,,,14.03,32.51,821.59,6969.01,272714.14,152.37,522.04,0.34,0.04,843.7603676784952
259,G12,G12-444.1,Little Dal,444.1,725.3,3.87,-7.19,,,16.07,28.07,592.08,2887.54,289685.77,139.62,519.76,0.32,0.02,843.5644506199232
260,G12,G12-447.1,Little Dal,447.1,728.3,3.6,-7.78,,,7.25,22.49,953.03,3873.44,331956.34,140.05,456.65,0.26,0.02,843.4137451902524
261,G12,G12-449.5,Little Dal,449.5,730.7,4.02,-7.03,,,44.69,47.53,532.34,3084.38,339243.09,344.73,389.44,0.22,0.01,843.2931808465157
262,G12,G12-451.8,Little Dal,451.8,733.0,3.68,-7.74,,,48.29,63.68,1884.81,27025.05,292483.19,140.87,432.98,0.72,0.15,843.1776400171015
263,G12,G12-454.3,Little Dal,454.3,735.5,4.03,-7.36,0.70717,,38.55,62.53,1072.19,15149.39,322902.93,147.84,455.63,0.67,0.08,843.0520521590424
264,G12,G12-458.1,Little Dal,458.1,739.3,3.75,-7.47,,,25.76,51.96,1715.42,26533.57,278992.15,152.67,466.43,0.54,0.16,842.8611586147928
265,G12,G12-461.6,Little Dal,461.6,742.8,3.87,-7.88,,,9.97,52.19,797.65,6705.22,309057.72,157.12,588.47,0.53,0.04,842.6853356135101
266,G12,G12-465.0,Little Dal,465,746.2,3.76,-7.95,,,11.47,67.7,1804.42,22745.09,246954.45,114.41,656.77,0.94,0.15,842.5145361265498
267,G12,G12-467.7,Little Dal,467.7,748.9,4.0,-8.49,0.70622,0.706222,8.6,27.89,547.15,3720.74,331651.67,388.81,667.03,0.11,0.02,842.3789012398461
268,G12,G12-469.8,Little Dal,469.8,751.0,4.14,-7.63,,,16.01,127.58,2434.56,82170.16,224179.7,97.98,583.45,2.08,0.6,842.2734074390765
269,G12,G12-472.1,Little Dal,472.1,753.3,4.45,-7.5,,,11.59,110.74,2033.23,76065.3,223366.32,108.15,635.69,1.63,0.56,842.1578666096623
270,G12,G12-476.6,Little Dal,476.6,757.8,4.1,-8.42,,,,,,,,,,,,841.9318084651561
271,G12,G12-479.5,Little Dal,479.5,760.7,4.74,-7.18,,,,,,,,,,,,841.7861265498077
272,G12,G12-482.5,Little Dal,482.5,763.7,4.73,-6.82,,,,,,,,,,,,841.6354211201369
273,G12,G12-484.5,Little Dal,484.5,765.7,4.1,-7.81,,,,,,,,,,,,841.5349508336898
274,G12,G12-486.7,Little Dal,486.7,767.9,4.78,-7.57,,,,,,,,,,,,841.4244335185979
275,G12,G12-490.0,Little Dal,490,771.2,5.12,-6.67,,,,,,,,,,,,841.25865754596
276,G12,G12-493.0,Little Dal,493,774.2,4.93,-6.01,,,,,,,,,,,,841.1079521162892
277,G12,G12-496.0,Little Dal,496,777.2,5.23,-6.25,,,,,,,,,,,,840.9572466866184
278,G12,G12-499.2,Little Dal,499.2,780.4,4.4,-5.11,,,,,,,,,,,,840.7964942283029
279,G12,G12-503.5,Little Dal,503.5,784.7,4.96,-6.53,,,,,,,,,,,,840.5804831124414
280,G12,G12-506.5,Little Dal,506.5,787.7,4.79,-6.08,0.71104,,,,,,,,,,,840.4297776827706
281,G12,G12-510.3,Little Dal,510.3,791.5,4.83,-6.54,,,,,,,,,,,,840.2388841385209
282,G12,G12-513.2,Little Dal,513.2,794.4,4.87,-8.36,,,,,,,,,,,,840.0932022231725
283,G12,G12-516.1,Little Dal,516.1,797.3,4.9,-7.73,,,,,,,,,,,,839.9475203078241
284,G12,G12-518.0,Little Dal,518,799.2,4.47,-7.34,,,,,,,,,,,,839.8520735356992
285,G12,G12-519.8,Little Dal,519.8,801.0,4.64,-9.72,,,,,,,,,,,,839.7616502778967
286,G12,G12-522.5,Little Dal,522.5,803.7,4.81,-7.64,,,,,,,,,,,,839.6260153911929
287,G12,G12-528.1,Little Dal,528.1,809.3,4.98,-6.82,,,,,,,,,,,,839.3446985891408
288,G12,G12-530.0,Little Dal,530,811.2,5.33,-9.68,,,,,,,,,,,,839.2492518170159
289,G12,G12-531.7,Little Dal,531.7,812.9,4.17,-7.53,,,,,,,,,,,,839.1638520735357
290,G12,G12-533.6,Little Dal,533.6,814.8,3.03,-7.2,,,,,,,,,,,,839.0684053014108
291,G12,G12-539.5,Little Dal,539.5,820.7,4.43,-6.0,,,,,,,,,,,,838.7720179563916
292,G12,G12-542.3,Little Dal,542.3,823.5,2.93,-7.3,,,,,,,,,,,,838.6313595553655
293,G12,G12-545.1,Little Dal,545.1,826.3,3.74,-7.21,0.70709,,,,,,,,,,,838.4907011543395
294,G12,G12-547.5,Little Dal,547.5,828.7,4.32,-7.51,,,,,,,,,,,,838.3701368106028
295,G12,G12-549.2,Little Dal,549.2,830.4,4.11,-7.24,,,,,,,,,,,,838.2847370671227
296,G12,G12-552.6,Little Dal,552.6,833.8,3.97,-7.31,,,,,,,,,,,,838.1139375801624
297,G12,G12-554.6,Little Dal,554.6,835.8,4.16,-8.59,,,,,,,,,,,,838.0134672937153
298,G12,G12-556.9,Little Dal,556.9,838.1,4.11,-7.47,,,,,,,,,,,,837.897926464301
299,G12,G12-559.7,Little Dal,559.7,840.9,4.3,-7.31,,,,,,,,,,,,837.757268063275
300,G12,G12-563.0,Little Dal,563,844.2,4.38,-8.19,,,,,,,,,,,,837.5914920906371
301,G12,G12-566.3,Little Dal,566.3,847.5,4.46,-8.69,,,,,,,,,,,,837.4257161179992
302,G12,G12-570.2,Little Dal,570.2,851.4,4.15,-8.96,,,,,,,,,,,,837.2297990594271
303,G12,G12-572.6,Little Dal,572.6,853.8,3.88,-9.27,,,,,,,,,,,,837.1092347156905
304,G12,G12-587.0,Little Dal,587,868.2,4.2,-10.51,,,,,,,,,,,,836.3858486532706
305,G12,G12-589.0,Little Dal,589,870.2,2.47,-7.83,,,,,,,,,,,,836.2853783668235
306,G12,G12-592.5,Little Dal,592.5,873.7,4.46,-6.23,,,,,,,,,,,,836.1095553655408
307,G12,G12-596.8,Little Dal,596.8,878.0,4.7,-6.37,,,,,,,,,,,,835.8935442496793
308,G12,G12-599.4,Little Dal,599.4,880.6,5.04,-8.41,,,,,,,,,,,,835.7629328772979
309,G12,G12-605.0,Little Dal,605,886.2,4.58,-6.14,0.70991,,,,,,,,,,,835.4816160752457
310,G12,G12-610.9,Little Dal,610.9,892.1,5.13,-5.67,,,,,,,,,,,,835.1852287302265
311,G12,G12-635.5,Little Dal,635.5,916.7,3.51,-7.02,,,,,,,,,,,,833.9494442069259
312,G12,G12-638.8,Little Dal,638.8,920.0,1.86,-9.44,,,,,,,,,,,,833.783668234288
313,G12,G12-660.0,Little Dal,660,941.2,4.89,-9.72,,,,,,,,,,,,832.7186831979477
314,G12,G12-664.3,Little Dal,664.3,945.5,5.88,-8.08,,,,,,,,,,,,832.5026720820862
315,G12,G12-666.6,Little Dal,666.6,947.8,5.6,-8.58,,,,,,,,,,,,832.3871312526719
316,G12,G12-669.1,Little Dal,669.1,950.3,5.43,-9.49,,,,,,,,,,,,832.2615433946129
317,G12,G12-671.2,Little Dal,671.2,952.4,5.65,-8.18,,,,,,,,,,,,832.1560495938434
318,G12,G12-674.4,Little Dal,674.4,955.6,5.42,-8.13,,,,,,,,,,,,831.9952971355278
319,G12,G12-676.1,Little Dal,676.1,957.3,5.21,-9.33,,,,,,,,,,,,831.9098973920477
320,G12,G12-681.2,Little Dal,681.2,962.4,4.7,-8.09,,,,,,,,,,,,831.6536981616073
321,G12,G12-684.0,Little Dal,684,965.2,5.06,-7.17,,,,,,,,,,,,831.5130397605813
322,G12,G12-693.0,Little Dal,693,974.2,4.86,-5.66,,,,,,,,,,,,831.0609234715688
323,G12,G12-697.0,Little Dal,697,978.2,4.91,-5.82,,,,,,,,,,,,830.8599828986744
324,G12,G12-704.4,Little Dal,704.4,985.6,5.03,-11.51,,,,,,,,,,,,830.4882428388197
325,G12,G12-710.0,Little Dal,710,991.2,4.85,-12.23,,,,,,,,,,,,830.2069260367675
326,G12,G12-727.0,Little Dal,727,1008.2,3.5,-11.46,,,,,,,,,,,,829.3529286019664
327,G12,G12-741.0,Little Dal,741,1022.2,2.85,-7.25,,,,,,,,,,,,828.649636596836
328,G12,G12-853.7,Little Dal,853.7,1134.9,2.93,-4.94,,,,,,,,,,,,822.9881359555363
329,G12,G12-857.1,Little Dal,857.1,1138.3,0.79,-4.37,,,,,,,,,,,,822.8173364685761
330,G12,G12-858.6,Little Dal,858.6,1139.8,-0.08,-5.32,,,,,,,,,,,,822.7419837537407
331,G12,G12-877.0,Little Dal,877,1158.2,1.35,-9.82,,,,,,,,,,,,821.8176571184264
332,G12,G12-957.5,Little Dal,957.5,1238.7,2.38,-7.77,,,,,,,,,,,,817.7737280889266
333,G12,G12-970.0,Little Dal,970,1251.2,4.9,-7.1,,,,,,,,,,,,817.1457887986317
334,G12,G12-972.5,Little Dal,972.5,1253.7,5.14,-7.18,,,,,,,,,,,,817.0202009405726
335,G12,G12-974.5,Little Dal,974.5,1255.7,5.53,-6.52,0.71119,,,,,,,,,,,816.9197306541255
336,G12,G12-977.1,Little Dal,977.1,1258.3,5.35,-6.72,,,,,,,,,,,,816.7891192817441
337,G12,G12-979.5,Little Dal,979.5,1260.7,4.85,-6.55,,,,,,,,,,,,816.6685549380074
338,G12,G12-982.7,Little Dal,982.7,1263.9,4.02,-3.88,,,,,,,,,,,,816.5078024796919
339,G12,G12-993.0,Little Dal,993,1274.2,5.22,-5.33,,,,,,,,,,,,815.9903805044888
340,G12,G12-996.2,Little Dal,996.2,1277.4,7.65,-5.43,,,,,,,,,,,,815.8296280461733
341,G12,G12-998.5,Little Dal,998.5,1279.7,7.2,-4.96,,,,,,,,,,,,815.714087216759
342,G12,G12-1000.8,Little Dal,1000.8,1282.0,8.16,-5.72,,,,,,,,,,,,815.5985463873448
343,G12,G12-1003.6,Little Dal,1003.6,1284.8,7.28,-6.22,0.70922,,24.07,135.41,2653.74,137219.62,249358.61,49.21,617.14,4.39,0.91,815.4578879863187
344,G12,G12-1007.0,Little Dal,1007,1288.2,7.08,-5.68,,,,,,,,,,,,815.2870884993584
345,G12,G12-1012.8,Little Dal,1012.8,1294.0,6.12,-6.59,,,,,,,,,,,,814.9957246686615
346,G12,G12-1015.8,Little Dal,1015.8,1297.0,5.78,-6.37,,,,,,,,,,,,814.8450192389907
347,G12,G12-1018.6,Little Dal,1018.6,1299.8,5.71,-6.24,,,,,,,,,,,,814.7043608379647
348,G12,G12-1022.5,Little Dal,1022.5,1303.7,5.23,-6.58,,,,,,,,,,,,814.5084437793927
349,G12,G12-1027.0,Little Dal,1027,1308.2,4.77,-6.54,,,,,,,,,,,,814.2823856348865
350,G12,G12-1031.8,Little Dal,1031.8,1313.0,4.59,-6.49,,,,,,,,,,,,814.0412569474132
351,G12,G12-1036.0,Little Dal,1036,1317.2,4.76,-6.74,,,,,,,,,,,,813.8302693458741
352,G12,G12-1041.0,Little Dal,1041,1322.2,4.36,-6.46,,,,,,,,,,,,813.579093629756
353,G12,G12-1045.0,Little Dal,1045,1326.2,4.05,-6.72,,,,,,,,,,,,813.3781530568616
354,G12,G12-1048.3,Little Dal,1048.3,1329.5,3.89,-6.25,,,,,,,,,,,,813.2123770842237
355,G12,G12-1053.0,Little Dal,1053,1334.2,4.24,-6.62,,,,,,,,,,,,812.9762719110728
356,G12,G12-1056.5,Little Dal,1056.5,1337.7,4.09,-6.39,,,,,,,,,,,,812.8004489097901
357,G12,G12-1060.7,Little Dal,1060.7,1341.9,5.23,-6.38,,,,,,,,,,,,812.589461308251
