,section,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,87Sr/86Sr_filtered,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca,age
388,G12,G12-1193.0,Little Dal,1193,1474.2,-2.21,-5.95,,,,,,,,,,,,803.1679471788715
389,G12,G12-1196.5,Little Dal,1196.5,1477.7,-1.95,-5.64,,,,,,,,,,,,802.8549219687875
390,G12,G12-1201.0,Little Dal,1201,1482.2,-2.0,-5.69,,,,,,,,,,,,802.4524609843937
391,G12,G12-1203.0,Little Dal,1203,1484.2,-2.12,-5.72,,,,,,,,,,,,802.2735894357743
392,G12,G12-1206.0,Little Dal,1206,1487.2,-1.72,-5.28,,,,,,,,,,,,802.0052821128451
393,G12,G12-1209.4,Little Dal,1209.4,1490.6,-2.15,-5.4,,,,,,,,,,,,801.701200480192
394,G12,G12-1211.7,Little Dal,1211.7,1492.9,-1.99,-5.13,,,,,,,,,,,,801.4954981992796
395,G12,G12-1216.0,Little Dal,1216,1497.2,-2.09,-5.04,,,,,,,,,,,,801.1109243697477
396,G12,G12-1222.0,Little Dal,1222,1503.2,-1.97,-4.41,,,,,,,,,,,,800.5743097238894
397,G12,G12-1224.9,Little Dal,1224.9,1506.1,-1.53,-4.72,,,,,,,,,,,,800.3149459783913
398,G12,G12-1227.6,Little Dal,1227.6,1508.8,-1.34,-4.58,,,,,,,,,,,,800.073469387755
399,G12,G12-1231.0,Little Dal,1231,1512.2,-1.55,-4.39,,,,,,,,,,,,799.769387755102
400,G12,G12-1233.7,Little Dal,1233.7,1514.9,-1.0,-3.94,,,,,,,,,,,,799.5279111644658
401,G12,G12-1236.7,Little Dal,1236.7,1517.9,0.32,-4.66,,,,,,,,,,,,799.2596038415365
402,G12,G12-1239.6,Little Dal,1239.6,1520.8,-1.35,-4.76,,,,,,,,,,,,799.0002400960384
403,G12,G12-1242.0,Little Dal,1242,1523.2,-0.52,-4.14,,,,,,,,,,,,798.785594237695
404,G12,G12-1248.0,Little Dal,1248,1529.2,-1.12,-3.18,,,,,,,,,,,,798.2489795918367
405,G12,G12-1250.0,Little Dal,1250,1531.2,-1.35,-4.21,,,,,,,,,,,,798.0701080432173
406,G12,G12-1253.7,Little Dal,1253.7,1534.9,-0.86,-4.37,,,,,,,,,,,,797.7391956782712
407,G12,G12-1256.6,Little Dal,1256.6,1537.8,-0.89,-4.29,,,,,,,,,,,,797.4798319327731
408,G12,G12-1260.2,Little Dal,1260.2,1541.4,-0.65,-4.46,,,,,,,,,,,,797.157863145258
409,G12,G12-1266.0,Little Dal,1266,1547.2,-1.28,-4.33,,,,,,,,,,,,796.6391356542616
410,G12,G12-1269.2,Little Dal,1269.2,1550.4,-1.04,-4.45,,,,,,,,,,,,796.3529411764705
411,G12,G12-1273.5,Little Dal,1273.5,1554.7,-1.12,-4.64,,,,,,,,,,,,795.9683673469386
412,G12,G12-1276.4,Little Dal,1276.4,1557.6,-0.97,-4.53,0.70925,,20.91,106.73,3079.47,129075.88,223112.45,56.77,496.68,3.0,0.95,795.7090036014405
413,G12,G12-1280.6,Little Dal,1280.6,1561.8,-1.27,-4.55,,,,,,,,,,,,795.3333733493397
414,G12,G12-1283.8,Little Dal,1283.8,1565.0,-0.59,-4.27,,,,,,,,,,,,795.0471788715486
415,G12,G12-1288.8,Little Dal,1288.8,1570.0,0.59,-4.44,,,,,,,,,,,,794.6
416,G12,G12-1291.5,Little Dal,1291.5,1572.7,1.03,-3.93,,,,,,,,,,,,794.5194256756757
417,G12,G12-1294.3,Little Dal,1294.3,1575.5,0.05,-3.78,,,,,,,,,,,,794.4358671171171
418,G12,G12-1298.2,Little Dal,1298.2,1579.4,1.31,-3.14,,,,,,,,,,,,794.319481981982
419,G12,G12-1300.8,Little Dal,1300.8,1582.0,0.67,-4.47,,,,,,,,,,,,794.2418918918919
420,G12,G12-1306.0,Little Dal,1306,1587.2,0.58,-4.69,,,,,,,,,,,,794.0867117117117
421,G12,G12-1308.0,Little Dal,1308,1589.2,1.26,-4.55,,,,,,,,,,,,794.027027027027
422,G12,G12-1312.0,Little Dal,1312,1593.2,1.22,-4.19,,,,,,,,,,,,793.9076576576576
423,G12,G12-1314.2,Little Dal,1314.2,1595.4,1.27,-4.23,,,,,,,,,,,,793.8420045045045
424,G12,G12-1317.3,Little Dal,1317.3,1598.5,1.46,-2.94,,,,,,,,,,,,793.7494932432433
425,G12,G12-1320.6,Little Dal,1320.6,1601.8,3.16,-2.82,,,,,,,,,,,,793.6510135135135
426,G12,G12-1324.0,Little Dal,1324,1605.2,3.09,-3.88,,,,,,,,,,,,793.5495495495495
427,G12,G12-1327.6,Little Dal,1327.6,1608.8,5.16,-2.8,,,,,,,,,,,,793.442117117117
428,G12,G12-1330.5,Little Dal,1330.5,1611.7,4.57,-3.46,,,,,,,,,,,,793.3555743243243
429,G12,G12-1333.0,Little Dal,1333,1614.2,2.91,-4.03,,,,,,,,,,,,793.2809684684684
430,G12,G12-1336.0,Little Dal,1336,1617.2,6.17,-4.07,,,,,,,,,,,,793.1914414414414
431,G12,G12-1338.9,Little Dal,1338.9,1620.1,6.2,-3.57,,,,,,,,,,,,793.1048986486486
432,G12,G12-1342.0,Little Dal,1342,1623.2,5.72,-4.53,,,,,,,,,,,,793.0123873873873
433,G12,G12-1343.5,Little Dal,1343.5,1624.7,5.02,-4.21,,,,,,,,,,,,792.9676238738738
434,G12,G12-1345.5,Little Dal,1345.5,1626.7,5.46,-4.41,,,,,,,,,,,,792.907939189189
435,G12,G12-1347.0,Little Dal,1347,1628.2,5.69,-5.24,,,,,,,,,,,,792.8631756756755
436,G12,G12-1350.0,Little Dal,1350,1631.2,5.16,-4.45,,,,,,,,,,,,792.7736486486485
437,G12,G12-1353.5,Little Dal,1353.5,1634.7,2.48,-4.75,,,,,,,,,,,,792.6692004504504
438,G12,G12-1356.4,Little Dal,1356.4,1637.6,5.17,-4.36,0.70882,,23.49,90.67,1774.9,122794.68,222174.09,57.6,471.99,2.51,0.91,792.5826576576576
439,G12,G12-1359.4,Little Dal,1359.4,1640.6,5.1,-4.17,,,,,,,,,,,,792.4931306306306
440,G12,G12-1361.8,Little Dal,1361.8,1643.0,4.83,-3.71,,,,,,,,,,,,792.421509009009
441,G12,G12-1364.0,Little Dal,1364,1645.2,4.59,-1.96,,,,,,,,,,,,792.3558558558559
442,G12,G12-1367.0,Little Dal,1367,1648.2,3.75,-4.32,,,,,,,,,,,,792.2663288288289
443,G12,G12-1370.5,Little Dal,1370.5,1651.7,3.97,-4.46,,,,,,,,,,,,792.1618806306308
444,G12,G12-1373.0,Little Dal,1373,1654.2,3.63,-4.96,,,,,,,,,,,,792.0872747747749
445,G12,G12-1378.8,Little Dal,1378.8,1660.0,3.74,-4.99,,,,,,,,,,,,791.9141891891893
446,G12,G12-1382.0,Little Dal,1382,1663.2,3.7,-4.62,,,,,,,,,,,,791.8186936936938
447,G12,G12-1388.5,Little Dal,1388.5,1669.7,2.45,-4.14,,,,,,,,,,,,791.6247184684686
448,G12,G12-1394.0,Little Dal,1394,1675.2,4.23,-7.82,,,,,,,,,,,,791.4605855855857
449,G12,G12-1398.0,Little Dal,1398,1679.2,2.1,-4.58,,,,,,,,,,,,791.3412162162164
450,G12,G12-1401.2,Little Dal,1401.2,1682.4,-0.29,-4.8,,,,,,,,,,,,791.2457207207209
451,G12,G12-1420.0,Little Dal,1420,1701.2,5.16,-7.86,,,,,,,,,,,,790.6846846846848
452,G12,G12-1425.0,Little Dal,1425,1706.2,3.13,-5.95,,,,,,,,,,,,790.5354729729731
453,G12,G12-1429.0,Little Dal,1429,1710.2,0.59,-3.25,,,,,,,,,,,,790.4161036036038
454,G12,G12-1434.5,Little Dal,1434.5,1715.7,2.89,-2.91,,,,,,,,,,,,790.2519707207209
455,G12,G12-1439.0,Little Dal,1439,1720.2,1.76,-6.27,,,,,,,,,,,,790.1176801801804
456,G12,G12-1444.6,Little Dal,1444.6,1725.8,-1.32,-3.2,,,,,,,,,,,,789.9505630630633
457,G12,G12-1446.5,Little Dal,1446.5,1727.7,2.65,0.17,,,,,,,,,,,,789.8938626126129
458,G12,G12-1446.5a,Little Dal,1446.5a,1727.7,2.53,-6.63,,,,,,,,,,,,789.8938626126129
459,G12,G12-1447.5,Little Dal,1447.5,1728.7,1.65,-5.05,,,,,,,,,,,,789.8640202702705
460,G12,G12-1451.4,Little Dal,1451.4,1732.6,1.97,-6.73,,,,,,,,,,,,789.7476351351354
461,G12,G12-1453.8,Little Dal,1453.8,1735.0,2.17,-3.52,,,,,,,,,,,,789.6760135135138
462,G12,G12-1455.0,Little Dal,1455,1736.2,4.04,5.25,,,,,,,,,,,,789.6402027027029
463,G12,G12-1457.5,Little Dal,1457.5,1738.7,3.48,0.42,,,,,,,,,,,,789.565596846847
464,G12,G12-1459.0,Little Dal,1459,1740.2,4.22,-4.08,,,,,,,,,,,,789.5208333333335
465,G12,G12-1463.3,Little Dal,1463.3,1744.5,2.95,-2.94,,,,,,,,,,,,789.3925112612615
466,G12,G12-1465.6,Little Dal,1465.6,1746.8,2.8,-0.83,,,,,,,,,,,,789.323873873874
467,G12,G12-1469.5,Little Dal,1469.5,1750.7,2.82,-0.72,,,,,,,,,,,,789.2074887387389
468,G12,G12-1473.3,Little Dal,1473.3,1754.5,2.06,-5.96,,,,,,,,,,,,789.094087837838
469,G12,G12-1476.4,Little Dal,1476.4,1757.6,1.96,-2.58,,,,,,,,,,,,789.0015765765767
470,G12,G12-1479.6,Little Dal,1479.6,1760.8,3.8,-0.89,,,,,,,,,,,,788.9060810810812
471,G12,G12-1482.5,Little Dal,1482.5,1763.7,4.01,-2.33,,,,,,,,,,,,788.8195382882884
472,G12,G12-1485.5,Little Dal,1485.5,1766.7,0.48,1.3,,,,,,,,,,,,788.7300112612614
473,G12,G12-1488.6,Little Dal,1488.6,1769.8,2.46,-2.98,,,,,,,,,,,,788.6375000000002
474,G12,G12-1492.9,Little Dal,1492.9,1774.1,3.72,-4.34,,,,,,,,,,,,788.5091779279281
475,G12,G12-1495.6,Little Dal,1495.6,1776.8,1.92,-2.37,,,,,,,,,,,,788.4286036036038
476,G12,G12-1499.5,Little Dal,1499.5,1780.7,1.78,-2.65,,,,,,,,,,,,788.3122184684687
477,G12,G12-1502.5,Little Dal,1502.5,1783.7,2.42,-0.98,,,,,,,,,,,,788.2226914414417
478,G12,G12-1508.0,Little Dal,1508,1789.2,0.76,-2.42,,,,,,,,,,,,788.0585585585588
479,G12,G12-1510.1,Little Dal,1510.1,1791.3,2.26,-2.06,,,,,,,,,,,,787.9958896396399
480,G12,G12-1513.2,Little Dal,1513.2,1794.4,2.76,-4.27,,,,,,,,,,,,787.9033783783786
481,G12,G12-1517.8,Little Dal,1517.8,1799.0,4.2,-5.44,,,,,,,,,,,,787.7661036036038
482,G12,G12-1521.5,Little Dal,1521.5,1802.7,4.24,-5.36,,,,,,,,,,,,787.6556869369372
483,G12,G12-1523.5,Little Dal,1523.5,1804.7,2.26,-3.02,,,,,,,,,,,,787.5960022522524
484,G12,G12-1529.8,Little Dal,1529.8,1811.0,2.42,0.27,,,,,,,,,,,,787.4079954954957
485,G12,G12-1531.4,Little Dal,1531.4,1812.6,1.89,-4.36,,,,,,,,,,,,787.360247747748
486,G12,G12-1536.8,Little Dal,1536.8,1818.0,3.44,3.89,,,,,,,,,,,,787.1990990990993
487,G12,G12-1542.0,Little Dal,1542,1823.2,3.3,4.45,,,,,,,,,,,,787.0439189189191
488,G12,G12-1545.0,Little Dal,1545,1826.2,0.47,-3.5,,,,,,,,,,,,786.9543918918921
489,G12,G12-1548.8,Little Dal,1548.8,1830.0,0.48,-0.65,,,,,,,,,,,,786.8409909909911
490,G12,G12-1552.7,Little Dal,1552.7,1833.9,2.12,-5.34,,,,,,,,,,,,786.724605855856
491,G12,G12-1555.7,Little Dal,1555.7,1836.9,2.15,-0.85,,,,,,,,,,,,786.635078828829
492,G12,G12-1558.7,Little Dal,1558.7,1839.9,1.71,0.29,,,,,,,,,,,,786.545551801802
493,G12,G12-1561.4,Little Dal,1561.4,1842.6,3.16,-5.76,,,,,,,,,,,,786.4649774774778
494,G12,G12-1561.8,Little Dal,1561.8,1843.0,1.28,-1.0,,,,,,,,,,,,786.4530405405408
495,G12,G12-1563.0,Little Dal,1563,1844.2,1.82,-2.17,,,,,,,,,,,,786.4172297297299
496,G12,G12-1564.2b,Little Dal,1564.2b,1845.4,1.43,-4.85,,,,,,,,,,,,786.381418918919
497,G12,G12-1564.2a,Little Dal,1564.2a,1845.4,1.58,-6.09,,,,,,,,,,,,786.381418918919
498,G12,G12-1566.3,Little Dal,1566.3,1847.5,1.94,-5.47,,,,,,,,,,,,786.3187500000001
499,G12,G12-1568.0,Little Dal,1568,1849.2,1.52,3.52,,,,,,,,,,,,786.2680180180181
500,G12,G12-1571.2,Little Dal,1571.2,1852.4,1.22,-1.87,,,,,,,,,,,,786.1725225225226
501,G12,G12-1575.5,Little Dal,1575.5,1856.7,2.09,-2.45,,,,,,,,,,,,786.0442004504506
502,G12,G12-1579.4,Little Dal,1579.4,1860.6,3.25,-2.62,,,,,,,,,,,,785.9278153153155
503,G12,G12-1584.7,Little Dal,1584.7,1865.9,3.74,-1.09,,,,,,,,,,,,785.7696509009011
504,G12,G12-1589.4,Little Dal,1589.4,1870.6,4.08,-0.98,,,,,,,,,,,,785.629391891892
505,G12,G12-1592.9,Little Dal,1592.9,1874.1,2.5,2.03,,,,,,,,,,,,785.5249436936939
506,G12,G12-1595.5,Little Dal,1595.5,1876.7,3.35,-2.86,,,,,,,,,,,,785.4473536036038
507,G12,G12-1598.7,Little Dal,1598.7,1879.9,3.91,1.14,,,,,,,,,,,,785.3518581081083
508,G12,G12-1602.0,Little Dal,1602,1883.2,2.37,3.65,,,,,,,,,,,,785.2533783783786
509,G12,G12-1606.1,Little Dal,1606.1,1887.3,3.36,2.52,,,,,,,,,,,,785.1310247747749
510,G12,G12-1609.5,Little Dal,1609.5,1890.7,3.23,1.02,,,,,,,,,,,,785.029560810811
511,G12,G12-1613.8,Little Dal,1613.8,1895.0,1.61,0.79,,,,,,,,,,,,784.9012387387389
512,G12,G12-1617.5,Little Dal,1617.5,1898.7,-0.51,1.0,,,,,,,,,,,,784.7908220720723
513,G12,G12-1620.7,Little Dal,1620.7,1901.9,0.28,2.15,,,,,,,,,,,,784.6953265765768
514,G12,G12-1623.6,Little Dal,1623.6,1904.8,1.59,-6.67,,,,,,,,,,,,784.608783783784
515,G12,G12-1630.7,Little Dal,1630.7,1911.9,1.13,-6.7,,,,,,,,,,,,784.3969031531534
516,G12,G12-1635.2,Little Dal,1635.2,1916.4,1.12,-7.21,,,,,,,,,,,,784.2626126126129
517,G12,G12-1637.0,Little Dal,1637,1918.2,0.59,-5.04,,,,,,,,,,,,784.2088963963967
518,G12,G12-1640.3,Little Dal,1640.3,1921.5,1.76,-4.82,,,,,,,,,,,,784.1104166666669
519,G12,G12-1644.0,Little Dal,1644,1925.2,1.68,-6.73,,,,,,,,,,,,784
