section,strat_height,d13C,d18O,strat_m,note
T6,34.7,6.21,-16.18,-465.3,
T6,35.7,6,-15.3,-464.3,
T6,37.2,6.06,-14.19,-462.8,
T6,38,5.97,-15.94,-462,
T6,41,6.16,-14.69,-459,
T6,42.1,5.44,-16.26,-457.9,
T1,479.9,-3.55,-10.22,-0.5,mtx
T1,480.4,-1.91,-10.09,0,mtx
T1,480.8,-0.86,-7.09,0.4,mtx
T1,483.2,,,2.8,mtx
T1,486.1,-2.66,-12.48,5.7,mtx
T1,491.9,-2.05,-10.98,11.5,mtx
T1,492.3,-2.1,-10.64,11.9,mtx
T1,494.3,-2.24,-10.25,13.9,mtx
T1,497.7,-2.31,-9.83,17.3,mtx
T1,500.6,-2.3,-9.66,20.2,mtx
T1,506.2,,,25.8,mtx
T1,506.5,,,26.1,mtx
T1,506.8,,,26.4,mtx
T1,507.3,,,26.9,mtx
T1,507.9,,,27.5,mtx
T1,508.5,-2.24,-8.78,28.1,mtx
T1,509,,,28.6,mtx
T1,513.4,,,33,mtx
T1,513.7,,,33.3,mtx
T1,514.1,-2.04,-8.37,33.7,mtx
T1,514.2,,,33.8,mtx
T1,516.5,-2.04,-7.92,36.1,mtx
T1,519.2,-2.32,-8.23,38.8,mtx
T1,519.5,,,39.1,mtx
T1,520.8,,,40.4,mtx
T1,522.9,,,42.5,mtx
T1,526.9,-2.92,-7.65,46.5,mtx
T1,528.3,-2.72,-8.08,47.9,mtx
T1,528.8,,,48.4,mtx
T1,530,,,49.6,mtx
T1,531.6,,,51.2,mtx
T1,532.2,,,51.8,mtx
T1,535.5,,,55.1,mtx
T1,536.1,-2.49,-7.74,55.7,mtx
T1,540.6,-2.12,-8.04,60.2,mtx
T1,543.3,-2.12,-7.42,62.9,mtx
T1,545.8,-1.98,-8.26,65.4,mtx
T1,546.1,-2.18,-7.86,65.7,mtx
T1,548.8,,,68.4,mtx
T1,548.9,,,68.5,mtx
T1,549.1,,,68.7,mtx
T1,552.3,-1.91,-8.38,71.9,mtx
T1,552.6,-2.18,-8.76,72.2,mtx
T1,556.2,-2.06,-8.88,75.8,mtx
T1,558.8,,,78.4,mtx
T1,558.9,,,78.5,mtx
T1,559,,,78.6,mtx
T1,559.1,,,78.7,mtx
T1,559.15,,,78.8,mtx
T1,559.25,,,78.9,mtx
T1,562.7,-2.26,-9.83,82.3,mtx
T1,565.9,-2.17,-9.24,85.5,mtx
T1,568.8,-2.36,-10.09,88.4,mtx
T1,569.1,-2.23,-9.02,88.7,mtx
T1,571,,,90.6,mtx
T1,573.1,-1.91,-9.13,92.7,mtx
T1,576,-2,-11.28,95.6,mtx
T1,578.4,-2.18,-10.75,98,mtx
T1,580,,,99.6,mtx
T1,580.1,,,99.7,mtx
T1,580.12,,,99.7,mtx
T1,580.3,,,99.9,mtx
T1,580.4,,,100,mtx
T1,580.55,,,100.2,mtx
T1,584.9,,,104.5,mtx
T1,585.7,,,105.3,mtx
T1,585.8,,,105.4,mtx
T1,588.2,-2.25,-11.36,107.8,mtx
T1,593.5,-2.52,-11.33,113.1,mtx
T1,593.7,-2.38,-10.51,113.3,mtx
T1,597.5,-2.23,-11.18,117.1,mtx
T1,600.4,,,120,mtx
T1,601.4,,,121,mtx
T1,601.6,,,121.2,mtx
T1,605.1,-2.51,-8.44,124.7,mtx
T1,606.9,-2.34,-9.36,126.5,mtx
T1,607.8,-2.52,-9.32,127.4,mtx
T1,609.3,,,128.9,mtx
