section,strat_height,d13C,d18O,strat_m,note
T1,609.4,,,129,mtx
T1,610.6,,,130.2,mtx
T1,610.8,,,130.4,mtx
T1,614.6,-1.9,-7.91,134.2,mtx
T1,616.4,,,136,mtx
T1,617,-1.87,-8.48,136.6,mtx
T1,617,-2.03,-8.27,136.6,mts
T1,617.4,,,137,mtx
T1,618.9,-2.1,-10.22,138.5,mtx
T1,622.8,-1.9,-11.71,142.4,mtx
T1,623.2,-2.04,-10.98,142.8,mtx
T1,627.6,-1.89,-10.71,147.2,mtx
T1,632.2,-1.87,-10.66,151.8,mtx
T1,636.6,-1.92,-10.42,156.2,mtx
T1,638.4,-2.19,-11.89,158,mtx
T1,639,,,158.6,mtx
T1,639.1,,,158.7,mtx
T1,639.25,,,158.9,mtx
T1,639.3,,,158.9,mtx
T1,639.6,,,159.2,mtx
T1,639.75,,,159.4,mtx
T1,643.4,-1.79,-13.33,163,mtx
T1,645.8,,,165.4,mtx
T1,645.85,,,165.5,mtx
T1,645.9,,,165.5,mtx
T1,646.2,,,165.8,mtx
T1,646.25,,,165.9,mtx
T1,646.45,,,166.1,mtx
T1,646.6,-2.13,-16.37,166.2,mtx
T1,647,-2.09,-15.51,166.6,mtx
T1,649.2,-2.02,-11.95,168.8,mtx
T1,649.3,-2.02,-12.37,168.9,mtx
T1,650.1,-1.73,-7.94,169.7,mtx
T1,650.8,-1.7,-7.8,170.4,mtx
T1,651.4,-2.87,-7.81,171,mtx
T1,654.8,-1.45,-4.68,174.4,mtx
T1,657.9,-1.36,-4.09,177.5,mtx
T1,660.7,-1.75,-5.21,180.3,mtx
T1,662.6,-1.34,-5.42,182.2,mtx
T1,666.3,-1.59,-5.36,185.9,mtx
T1,670.2,-0.93,-6.47,189.8,mtx
T1,672.8,-0.57,-4.59,192.4,mtx
T1,676.1,-0.52,-5.25,195.7,mtx
T1,680.3,-0.63,-4.97,199.9,mtx
T1,683.6,-0.49,-5.09,203.2,mtx
T1,689.3,-1.7,-6.63,208.9,mtx
T1,694.1,-2.62,-5.87,213.7,mtx
T1,698.2,-1.53,-7.14,217.8,mtx
T1,703.2,-1.61,-10.98,222.8,mtx
T1,706.3,-1.98,-16.28,225.9,mtx
T1,709.2,-1.97,-8.06,228.8,mtx
T1,709.3,-1.64,-9.37,228.9,mtx
T1,710.6,,,230.2,mtx
T1,710.65,,,230.3,mtx
T1,711,,,230.6,mtx
T1,711.3,-0.87,-8.47,230.9,mtx
T1,713.1,-0.94,-7.47,232.7,mtx
T1,713.2,,,232.8,mtx
T1,713.8,,,233.4,mtx
T1,714.1,-1.33,-15.4,233.7,mtx
T1,714.1,,,233.7,mtx
T1,714.4,,,234,mtx
T1,714.6,,,234.2,mtx
T1,714.8,,,234.4,mtx
T1,715,-1.18,-7.65,234.6,mtx
T1,715.3,,,234.9,mtx
T1,715.35,,,235,mtx
T1,715.75,,,235.4,mtx
T1,718.3,,,237.9,mtx
T1,719,,,238.6,mtx
T1,719.2,,,238.8,mtx
T1,721.5,-0.74,-12.12,241.1,mtx
T1,721.5,,,241.1,mtx
T1,722.6,,,242.2,mtx
T1,724.6,,,244.2,mtx
T1,726.55,,,246.2,mtx
T1,726.7,,,246.3,mtx
T1,727.1,,,246.7,mtx
T1,727.9,-0.91,-8.48,247.5,mtx
T1,729.2,,,248.8,mtx
T1,732.1,-1.16,-11.38,251.7,mtx
T1,732.5,,,252.1,mtx
T1,732.7,,,252.3,mtx
T1,733.2,,,252.8,mtx
T1,734.4,,,254,mtx
T1,734.5,,,254.1,mtx
T1,734.6,-1.4,-12.86,254.2,mtx
T1,735.95,,,255.6,mtx
T1,736.1,,,255.7,mtx
T1,736.2,,,255.8,mtx
T1,736.25,,,255.9,mtx
T1,736.5,,,256.1,mtx
T1,736.6,,,256.2,mtx
T1,736.65,,,256.3,mtx
T1,944.3,,,463.9,mtx
T1,946.7,0.21,-15.5,466.3,mtx
T1,949.2,-0.23,-16.27,468.8,mtx
T1,951.8,0.87,-14.76,471.4,mtx
T1,952,0.95,-15.96,471.6,mtx
T1,952.3,-0.97,-15.92,471.9,mtx
T1,952.4,0.88,-15.46,472,mtx
T1,957.7,1.31,-15.23,477.3,mtx
T1,965,1.96,-15.66,484.6,mtx
T1,965.6,2.16,-15.2,485.2,mtx
T1,966.6,2.24,-15.31,486.2,mtx
T1,966.7,2.36,-14.49,486.3,mtx
T1,967.2,1.96,-13.93,486.8,mtx
T1,968.1,2.55,-15.3,487.7,mtx
T1,969.4,2.74,-14.56,489,mtx
T1,970,2.28,-14.54,489.6,mtx
T1,976.5,1.73,-14.34,496.1,mtx
T1,977.4,2.57,-13.54,497,mtx
T1,978,2.23,-14.26,497.6,mtx
T1,978.3,2.77,-13.76,497.9,mtx
T1,978.6,1.98,-13.1,498.2,mtx
T1,980.2,2.14,-13.54,499.8,mtx
T1,980.6,2.51,-14.25,500.2,mtx
T1,982.6,2.47,-13.66,502.2,mtx
T1,983.3,2.45,-12.89,502.9,mtx
T1,984.1,1.83,-13.63,503.7,mtx
T1,992.7,2.01,-13.62,512.3,mtx
T3,1,2.95,-10.52,651,mtx
T1,1135.8,3.3,-12.87,655.4,mtx
T1,1137,3.37,-11.93,656.6,mtx
T3,8.7,4.16,-10.46,658.7,mtx
T1,1139.2,2.77,-12.32,658.8,mtx
T3,17.3,0.94,-7.32,667.3,mtx
T1,1151.2,3.39,-11.83,670.8,mtx
T3,39.4,1.63,-10.19,689.4,mtx
T3,46,1.34,-7.8,696,mtx
T1,1176.6,5.76,-11.34,696.2,mtx
T3,48.9,1.93,-11.03,698.9,mtx
T3,54.7,3.54,-10.74,704.7,mtx
T3,57.3,3.37,-8.87,707.3,mtx
T3,60.7,4.96,-11.81,710.7,mtx
T3,64.3,3.54,-8.61,714.3,mtx
T3,65.6,4.52,-9.22,715.6,mtx
T3,68.2,4.47,-9.78,718.2,mtx
T3,69.7,4.89,-9.47,719.7,mtx
T1,1202,,,721.6,
T3,72.8,5.51,-10.58,722.8,mtx
T3,74.7,6.05,-10.76,724.7,mtx
T3,77,5.37,-9.95,727,mtx
T3,79.4,5.91,-9.28,729.4,mtx
T3,81.3,6.09,-9.95,731.3,mtx
T3,83.3,5.95,-9.68,733.3,mtx
T3,84.5,6.35,-10.06,734.5,mtx
T1,1222.7,-0.3,-10.48,742.3,mtx
T3,94,5.47,-9.36,744,mtx
T3,96.7,4.86,-8.04,746.7,mtx
T1,1227.5,4.74,-10.27,747.1,mtx
T3,98.5,5.2,-8.12,748.5,mtx
T1,1231.5,5.61,-12.1,751.1,mtx
T3,102,5.19,-8.93,752,mtx
T1,1233.3,5.85,-12.58,752.9,mtx
T3,103.5,5.89,-8.69,753.5,mtx
T1,1235,6,-11.7,754.6,mtx
T3,105.4,5.85,-9.26,755.4,mtx
T1,1236.5,5.92,-11.29,756.1,mtx
T3,108,6.01,-9.15,758,mtx
T3,109.1,6.35,-8.94,759.1,mtx
T1,1240.8,6.13,-12.32,760.4,mtx
T3,110.9,6.15,-9.08,760.9,mtx
T3,113.3,5.68,-8.83,763.3,mtx
T1,1243.9,5.72,-10.97,763.5,mtx
T3,114.9,6.09,-8.8,764.9,mtx
T1,1246.7,4.81,-9.86,766.3,mtx
T3,116.7,5.86,-8.84,766.7,mtx
T3,118.4,6.02,-8.27,768.4,mtx
T3,121.2,6.06,-8.48,771.2,mtx
T3,123.2,5.88,-7.63,773.2,mtx
T3,125.6,5.84,-8.82,775.6,mtx
T3,127.1,5.78,-8.61,777.1,mtx
T3,129.9,5.55,-8.58,779.9,mtx
T3,131.1,6.18,-8.51,781.1,mtx
T3,134.1,5.71,-8.17,784.1,mtx
T3,137.3,5.64,-8.67,787.3,mtx
T3,138.3,5.64,-7.98,788.3,mtx
T3,139.9,4.69,-8.37,789.9,mtx
T3,142.5,4.53,-7.85,792.5,mtx
T3,144.7,5.14,-8.09,794.7,mtx
T3,146.2,5.25,-8.32,796.2,mtx
T3,148.6,5.4,-8.3,798.6,mtx
T3,150.8,5.05,-8.01,800.8,mtx
T3,154.4,4.75,-7.7,804.4,mtx
T3,157.7,5.06,-8.54,807.7,mtx
T3,164,4.85,-7.51,814,mtx
T3,166.4,4.8,-8.06,816.4,mtx
T3,168.4,4.08,-7.07,818.4,mtx
T3,170.6,2.79,-5.74,820.6,mtx
T3,173,5.11,-8.35,823,mtx
T3,176.6,5.25,-7.38,826.6,mtx
T3,178.3,4.75,-7.3,828.3,mtx
T3,180.2,4.49,-7.44,830.2,mtx
T3,182.5,5.26,-7.93,832.5,mtx
T3,185,4.8,-7.88,835,mtx
T3,187,5.4,-7.86,837,mtx
T3,188.8,4.53,-7.77,838.8,mtx
T3,191.2,4.54,-8.13,841.2,mtx
T3,193.8,5.74,-7.19,843.8,mtx
T3,195.1,,,845.1,mtx
T3,198.2,4.85,-7.74,848.2,mtx
T3,199.6,5.18,-8.38,849.6,mtx
T3,201.5,5.9,-7.86,851.5,mtx
T3,203.5,5.57,-8.69,853.5,mtx
T3,207.3,5.4,-7.94,857.3,mtx
T3,209.9,3.46,-6.73,859.9,mtx
T3,212.4,5.37,-8.22,862.4,mtx
T3,214.6,4.99,-7.76,864.6,mtx
T3,216.4,5.5,-7.85,866.4,mtx
T3,218.4,5.66,-7.91,868.4,mtx
T3,220.3,5.64,-8.19,870.3,mtx
T3,222.4,4.81,-7.94,872.4,mtx
T3,223.7,5.37,-8.12,873.7,mtx
T3,225.9,4.67,-8.28,875.9,mtx
T3,227.6,5.56,-8.78,877.6,mtx
T3,229.9,5.53,-8.58,879.9,mtx
T3,231.5,4.25,-7.36,881.5,mtx
T3,237.5,4.68,-8.52,887.5,mtx
T3,239.1,5.34,-8.65,889.1,mtx
T3,240.6,4.09,-6.59,890.6,mtx
T7,2.4,5.72,-12.75,892.4,
T3,246.3,4.9,-8.98,896.3,mtx
T3,248.3,5.21,-8.39,898.3,mtx
T7,13.1,4.9,-10.28,903.1,
T3,254.5,3.59,-6.86,904.5,mtx
T3,258.8,4.59,-8.38,908.8,mtx
T7,21.3,4.85,-8.85,911.3,
T3,262.9,4.55,-8.91,912.9,mtx
T3,264.5,5.02,-8.99,914.5,mtx
T3,266.8,4.28,-7.87,916.8,mtx
T3,268.3,4.89,-8.59,918.3,mtx
T3,270.7,4.07,-8.13,920.7,mtx
T7,32.1,5.35,-8.98,922.1,
T3,277.5,5.08,-8.92,927.5,mtx
T3,280.1,4.88,-9.13,930.1,mtx
T7,40.5,5.82,-8.91,930.5,
T3,281.3,5.33,-8.88,931.3,mtx
T7,42.5,5.5,-9.59,932.5,
T3,288.7,5.6,-8.8,938.7,mtx
T7,50,5.07,-9.15,940,
T3,290.1,5.39,-8.54,940.1,mtx
T3,299.7,5.52,-9.47,949.7,mtx
T7,63.8,5.4,-10.82,953.8,
T3,304.7,5.15,-8.98,954.7,mtx
T3,308.4,4.68,-9,958.4,mtx
T3,313.6,4.84,-9.09,963.6,mtx
T7,74.2,5.56,-10.01,964.2,
T7,74.5,5.6,-9.5,964.5,mtx
T7,74.5,,,964.5,mts
T3,316.2,4.05,-8.23,966.2,mtx
T3,318.7,4.47,-8.05,968.7,mtx
T3,321.9,4.79,-8.98,971.9,mtx
T3,322.2,5.52,-8.97,972.2,mtx
T3,322.2,,,972.2,mts
T3,322.9,5.53,-8.6,972.9,mtx
T3,322.9,5.53,-8.6,972.9,mts
T3,323.1,4.64,-8.15,973.1,mtx
T7,84.6,5.03,-9.24,974.6,
T3,326.6,4.75,-9.08,976.6,mtx
T3,327.2,4.22,-8.17,977.2,mtx
T3,330.1,3.94,-7.86,980.1,mtx
T7,90.7,4.916,-8.612,980.7,
T7,90.7,5.214,-8.714,980.7,mts
T3,332.9,5.32,-8.88,982.9,mtx
T7,93.6,5.03,-7.97,983.6,
T3,334.5,5.24,-8.85,984.5,mtx
T3,336.3,5.13,-9.62,986.3,mtx
T3,337.2,5.16,-8.8,987.2,mtx
T3,337.2,5.16,-8.8,987.2,mts
T3,337.7,5.44,-9.9,987.7,mtx
T3,341,5.56,-8.96,991,mtx
T3,343.1,5.53,-8.95,993.1,mtx
T7,103.4,4.92,-8.55,993.4,
T3,344.9,5.76,-8.48,994.9,mtx
T3,344.9,5.76,-8.48,994.9,mts
T3,345,5.45,-8.97,995,mtx
T3,348.9,5.68,-8.67,998.9,mtx
T3,350.3,5.48,-8.92,1000.3,mtx
T3,351.6,5.33,-8.88,1001.6,mtx
T3,358.5,5.36,-8.24,1008.5,mtx
T7,119.3,5.36,-10.49,1009.3,
T7,119.8,5.642,-9.614,1009.8,
T3,362.8,5.15,-7.78,1012.8,mtx
T3,362.8,5.38,-8.55,1012.8,mtx
T3,362.8,5.15,-7.78,1012.8,mts
T3,363.2,,,1013.2,mtx
T3,363.6,1.57,-5.46,1013.6,mtx
T3,364.7,4.46,-6.86,1014.7,mtx
T7,124.9,5.64,-9.39,1014.9,mtx
T7,124.9,,,1014.9,mts
T3,365,,,1015,mtx
T3,368.1,5.08,-8.03,1018.1,mtx
T7,128.2,5.99,-9.9,1018.2,
T3,371.1,5.08,-8.07,1021.1,mtx
T3,373.1,5.45,-7.81,1023.1,mtx
T3,374.4,5.18,-8.58,1024.4,mtx
T3,377.3,5.03,-7.85,1027.3,mtx
T7,139.7,5.66,-9.51,1029.7,
T3,380.1,5.04,-8.19,1030.1,mtx
T7,141.4,5.588,-8.813,1031.4,
T3,382.5,4.81,-8.06,1032.5,mtx
T3,383.1,5.83,-7.28,1033.1,mtx
T3,384,4.75,-7.32,1034,mtx
T3,384,4.75,-7.32,1034,mts
T3,385.4,5.07,-7.96,1035.4,mtx
T3,388,5.02,-8.35,1038,mtx
T3,389.5,5.27,-8.24,1039.5,mtx
T3,391.1,5.1,-9.02,1041.1,mtx
T7,152.6,5.74,-8.57,1042.6,
T3,393.9,5.32,-7.91,1043.9,mtx
T3,395.1,5.53,-7.58,1045.1,mtx
T3,397.6,5.6,-8.44,1047.6,mtx
T3,400.8,5.38,-8.43,1050.8,mtx
T7,161.3,5.53,-10.99,1051.3,
T3,403.8,5.47,-8.71,1053.8,mtx
T3,405.5,5.02,-8.63,1055.5,mtx
T3,408.4,5.25,-7.79,1058.4,mtx
T3,410.2,5.38,-8.71,1060.2,mtx
T3,411.7,5.45,-7.76,1061.7,mtx
T7,174,5.47,-8.37,1064,
T3,414.7,5.5,-8.82,1064.7,mtx
T3,417.1,5.29,-8.58,1067.1,mtx
T3,418.7,5.34,-8.56,1068.7,mtx
T7,180.6,4.407,-7.386,1070.6,mts
T7,180.6,5.744,-7.491,1070.6,
T3,421.9,5.26,-7.89,1071.9,mtx
T7,184.4,5.45,-8.53,1074.4,
T3,424.5,,,1074.5,mtx
T3,425.7,5.86,-5.79,1075.7,mtx
T3,425.7,,,1075.7,mts
T3,426.7,5.49,-7.83,1076.7,mtx
T3,429.1,5.02,-7.95,1079.1,mtx
T3,432.6,5.84,-7.81,1082.6,mtx
T3,433.1,5.32,-4.89,1083.1,mtx
T3,433.1,5.32,-4.89,1083.1,mts
T3,434.2,5.42,-7.74,1084.2,mtx
T7,195.1,5.105,-8.513,1085.1,
T7,196.8,5.58,-9.43,1086.8,
T3,437.3,5.65,-7.14,1087.3,mtx
T3,440.8,5.76,-6.74,1090.8,mtx
T3,443.6,5.98,-6.21,1093.6,mtx
T3,446.4,5.89,-6.47,1096.4,mtx
T3,449.5,5.59,-7,1099.5,mtx
T7,210.3,5.47,-9.99,1100.3,
T3,450.7,5.51,-7.25,1100.7,mtx
T7,211.3,5.61,-9.39,1101.3,mtx
T7,211.3,,,1101.3,mts
T3,453.3,5.54,-7.62,1103.3,mtx
T3,455,5.61,-8.22,1105,mtx
T3,457.1,5.78,-7.93,1107.1,mtx
T3,458.8,5.89,-8.77,1108.8,mtx
T3,460.8,5.6,-9.02,1110.8,mtx
T3,462.8,5.51,-8.96,1112.8,mtx
T7,225,5.227,-9.039,1115,
T3,466.7,5.47,-8.66,1116.7,mtx
T7,229.7,5.56,-10.32,1119.7,
T3,470,5.78,-8.47,1120,mtx
T3,470.5,4.09,-5.69,1120.5,mtx
T3,470.5,4.09,-5.69,1120.5,mts
T3,471.2,5.15,-7.53,1121.2,mtx
T3,474.9,5.69,-6.33,1124.9,mtx
T3,477.5,5.02,-6.91,1127.5,mtx
T3,478.5,5.61,-7.13,1128.5,mtx
T3,482.2,4.8,-6.76,1132.2,mtx
T3,484.4,5.88,-7.09,1134.4,mtx
T7,245.7,3.481,-7.982,1135.7,mts
T7,245.7,5.83,-8.367,1135.7,
T3,486.2,5.66,-6.37,1136.2,mtx
T7,246.3,5.88,-8.86,1136.3,
T3,489.6,5.57,-6.68,1139.6,mtx
T3,490.3,5.81,-4.85,1140.3,mtx
T3,490.3,5.81,-4.85,1140.3,mts
T3,490.5,5.96,-6.29,1140.5,mtx
T3,493,5.66,-6.67,1143,mtx
T7,253.9,5.62,-8.64,1143.9,
T7,257.7,5.338,-7.868,1147.7,
T3,499.8,5.66,-6.96,1149.8,mtx
T7,259.9,5.64,-7.85,1149.9,
T7,260.3,4.786,-8.625,1150.3,
T7,261.1,4.998,-8.432,1151.1,
T3,503,4.64,-6.65,1153,mtx
T7,264.4,5.511,-9.48,1154.4,
T3,505.4,5.48,-7.53,1155.4,mtx
T7,268,5.77,-9.54,1158,
T7,269.7,5.799,-9.386,1159.7,
T3,510.8,5.61,-7.03,1160.8,mtx
T3,511.8,5.76,-7.58,1161.8,mtx
T7,273.6,5.379,-8.591,1163.6,
T3,515.2,5.98,-7.52,1165.2,mtx
T7,279.6,4.925,-9.199,1169.6,
T3,519.7,5.48,-7.86,1169.7,mtx
T3,521,5.57,-7.34,1171,mtx
T7,281.3,3.87,-9.275,1171.3,
T7,281.3,4.84,-5.336,1171.3,mts
T7,284.6,5.802,-8.339,1174.6,
T3,526.3,5.45,-6.99,1176.3,mtx
T7,287.7,5.697,-7.449,1177.7,
T7,287.7,6.047,-6.378,1177.7,mts
T3,527.8,5.37,-7.26,1177.8,mtx
T7,293.4,5.444,-6.682,1183.4,
T7,293.4,5.709,-7.375,1183.4,mts
T3,536,6.13,-6.56,1186,mtx
T7,298.2,5.461,-7.71,1188.2,
T3,542.3,5.17,-6.54,1192.3,mtx
T7,305.7,4.997,-10.027,1195.7,
T7,308,5.053,-11.434,1198,
T3,549.1,6.08,-6.92,1199.1,mtx
T3,552,11.78,-7.83,1202,mtx
T3,552,,,1202,mts
T7,312.6,5.765,-10.021,1202.6,
T7,316.3,,,1206.3,mts
T7,316.3,5.2,-9.96,1206.3,mtx
T3,557.2,5.68,-7.13,1207.2,mtx
T7,321.7,5.542,-10.044,1211.7,
T3,561.8,5.88,-7.37,1211.8,mtx
T3,563.3,6.23,-6.71,1213.3,mtx
T3,563.3,6.23,-6.71,1213.3,mts
T7,324.1,4.918,-11.013,1214.1,
T7,324.1,5.903,-10.532,1214.1,mts
T3,564.2,5.71,-7.12,1214.2,mtx
T7,328,5.751,-10.757,1218,
T3,569.3,5.59,-7.09,1219.3,mtx
T3,572,5.89,-7.28,1222,mtx
T7,333.4,4.957,-11.105,1223.4,
T3,574.1,5.3,-6.97,1224.1,mtx
T7,338.6,5.149,-10.873,1228.6,
T3,578.8,5.92,-7.53,1228.8,mtx
T3,579.8,5.91,-6.74,1229.8,mtx
T3,580.8,5.69,-8.07,1230.8,mtx
T7,342.3,5.513,-6.557,1232.3,
T3,584.3,5.35,-7.19,1234.3,mtx
T3,589.8,5.86,-6,1239.8,mtx
T3,589.8,5.83,-6.56,1239.8,mtx
T3,589.8,5.86,-6,1239.8,mts
T7,353,5.275,-7.96,1243,
T3,593.9,5.92,-6.66,1243.9,mtx
T7,358,5.195,-7.408,1248,
T3,598.6,5.78,-7.42,1248.6,mtx
T3,602.4,5.62,-6.42,1252.4,mtx
T3,602.5,5.78,-3.95,1252.5,mtx
T3,602.5,,,1252.5,mts
T7,362.6,5.521,-8.946,1252.6,
T7,364.5,5.143,-11.888,1254.5,
T3,605.3,6.02,-6.77,1255.3,mtx
T7,365.9,5.532,-6.972,1255.9,
T7,368.5,5.349,-6.437,1258.5,
T7,372.8,5.156,-9.015,1262.8,
T3,615.6,5.46,-8.12,1265.6,mtx
T3,616.6,5.47,-6.41,1266.6,mtx
T3,618.7,5.34,-7.3,1268.7,mtx
T7,382.8,4.056,-12.341,1272.8,
T7,388.1,5.127,-7.906,1278.1,
T7,397.8,4.961,-5.545,1287.8,
T7,402.5,4.138,-7.65,1292.5,
T3,645.1,5.19,-4.56,1295.1,mtx
T7,413,4.386,-5.634,1303,
T7,418.6,3.939,-6.677,1308.6,
T7,422.8,4.244,-8.432,1312.8,
T7,424,4.005,-6.936,1314,
T7,429,4.652,-9.302,1319,
T7,432,5.041,-7.811,1322,
T7,436.7,4.603,-8.092,1326.7,
T3,677.6,5.66,-6.07,1327.6,mtx
T3,678.4,5.25,-5.47,1328.4,mtx
T3,678.4,5.25,-5.47,1328.4,mts
T3,679.9,5.45,-6.08,1329.9,mtx
T7,440.5,3.684,-7.553,1330.5,
T7,440.5,5.133,-8.856,1330.5,mts
T3,682.2,5.27,-5.27,1332.2,mtx
T3,685.8,4.64,-4.72,1335.8,mtx
T7,449.2,4.843,-7.485,1339.2,
T7,452.6,4.748,-6.41,1342.6,
T7,458.1,5.372,-4.634,1348.1,
T3,702.1,5.08,-6.21,1352.1,mtx
T7,465.2,5.328,-5.867,1355.2,
T7,465.2,5.773,-5.126,1355.2,mts
T7,470,5.126,-4.434,1360,
T3,711.6,5.09,-6.1,1361.6,mtx
T7,472.9,5.432,-3.916,1362.9,
T7,475.4,5.313,-4.556,1365.4,
T3,717.2,4.62,-5.71,1367.2,mtx
T7,478.2,4.471,-4.302,1368.2,
T7,482.1,4.987,-4.655,1372.1,
T3,725.2,5.21,-5.75,1375.2,mtx
T7,488.4,4.5,-4.027,1378.4,mtx
T7,488.4,,,1378.4,mts
T7,488.5,4.75,-4.86,1378.5,
T3,732.2,5.51,-5.82,1382.2,mtx
T7,492.9,4.747,-4.626,1382.9,
T3,736.4,4.99,-5.88,1386.4,mtx
T7,501.8,4.771,-4.75,1391.8,
T3,746.2,5.09,-5.56,1396.2,mtx
T3,753.3,5.23,-5.72,1403.3,mtx
T7,514.8,4.725,-5.585,1404.8,
T3,759,4.98,-6.38,1409,mtx
T7,559.4,4.302,-5.233,1449.4,
T7,582.7,1.042,-3.309,1472.7,
T7,593.8,2.414,-1.889,1483.8,
T7,607.7,1.45,-9.26,1497.7,
T7,608.1,,,1498.1,mtx
T7,608.1,,,1498.1,mts
T7,643.3,0.885,-1.157,1533.3,
T7,684,2.47,-0.746,1574,
T7,710.3,2.155,-2.033,1600.3,
T7,734.4,2.617,-1.65,1624.4,
T7,826.3,1.866,-2.888,1716.3,
T7,863.1,2.815,-11.38,1753.1,
T7,864.5,2.449,-10.723,1754.5,
T7,873.3,3.576,-13.39,1763.3,
T7,878.3,0.015,-12.048,1768.3,
T7,884.4,3.276,-11.291,1774.4,
T7,887.5,3.694,-11.784,1777.5,
T7,894.2,4.006,-12.307,1784.2,
T7,899.5,3.47,-10.492,1789.5,
T22,529.8,2.25,-3.87,2609.8,
T22,531.1,2.06,-3.69,2611.1,
T22,532.5,2.17,-3.71,2612.5,
T22,562.1,2.21,-2.93,2642.1,
T22,563.5,2.47,-3.58,2643.5,
T22,566,3.11,-5.99,2646,
T22,569.1,3.18,-5.79,2649.1,
T22,578.1,4.67,-4.62,2658.1,
T22,580.3,3.2,-3.66,2660.3,
T22,583.1,3.82,-3.17,2663.1,
T22,583.8,3.2,-3.66,2663.8,
T22,591.3,1.97,-3.63,2671.3,
T22,592.5,1.39,-4.06,2672.5,
T22,595.3,1.37,-8.78,2675.3,
T22,595.7,1.46,-7.43,2675.7,
T22,602,1.37,-7.41,2682,
T22,602.7,2.97,-3.36,2682.7,
T22,608.7,1.67,-6.55,2688.7,
T22,609.5,1.69,-6.54,2689.5,
T22,613.5,1.83,-6.57,2693.5,
T22,615.6,2.65,-6.22,2695.6,
T22,618.1,2.34,-4.13,2698.1,
T22,619.3,2.87,-1.04,2699.3,
T22,621.6,2.58,-1.18,2701.6,
T22,622.9,2.73,-1.84,2702.9,
T22,625.1,2.56,-2.55,2705.1,
T22,626.6,2.59,-3.4,2706.6,
T22,643.7,,,2723.7,
T22,653.5,,,2733.5,
