,section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%,age
20,W1,dolostone,Bitter Springs,-1983.2,-35.7,-0.3,-5.9,,,,822.5497076023395
21,W1,dolostone,Bitter Springs,-1981.9,-34.4,0.6,-4.5,-27.7,28.3,0.016,822.2962962962966
22,W1,dolostone,Bitter Springs,-1981.5,-34.0,0.4,-4.8,,,,822.218323586745
23,W1,dolostone,Bitter Springs,-1980.2,-32.7,-0.3,-4.0,,,,821.9649122807022
24,W1,dolostone,Bitter Springs,-1979.4,-31.9,0.2,-5.5,,,,821.8089668615988
25,W1,insoluble residue,Bitter Springs,-1978.7,-31.2,,,-28.6,28.7,,821.6725146198834
26,W1,dolostone,Bitter Springs,-1978.6,-31.1,0.1,-5.5,,,,821.6530214424954
27,W1,dolostone,Bitter Springs,-1977.1,-29.6,0.5,-4.2,,,,821.3606237816767
28,W1,dolostone,Bitter Springs,-1976.8,-29.3,0.7,-4.6,,,,821.302144249513
29,W1,dolostone,Bitter Springs,-1975.9,-28.4,-0.6,-5.3,,,,821.1267056530219
30,W1,dolostone,Bitter Springs,-1975.0,-27.5,0.2,-4.4,,,,820.9512670565306
31,W1,insoluble residue,Bitter Springs,-1973.8,-26.3,,,-28.0,28.8,,820.7173489278756
32,W1,dolostone,Bitter Springs,-1973.7,-26.2,0.8,-5.3,,,,820.6978557504877
33,W1,dolostone,Bitter Springs,-1972.4,-24.9,0.9,-5.0,,,,820.4444444444449
34,W1,insoluble residue,Bitter Springs,-1972.3,-24.8,,,-26.5,27.7,,820.4249512670569
35,W1,dolostone,Bitter Springs,-1972.2,-24.7,1.2,-5.3,,,,820.4054580896691
36,W1,dolostone,Bitter Springs,-1971.7,-24.2,1.2,-5.4,,,,820.3079922027296
37,W1,dolostone,Bitter Springs,-1970.5,-23.0,0.4,-4.8,,,,820.0740740740746
38,W1,dolostone,Bitter Springs,-1969.9,-22.4,1.1,-5.0,,,,819.9571150097471
39,W1,insoluble residue,Bitter Springs,-1969.2,-21.7,,,-27.5,28.6,,819.8206627680316
40,W1,dolostone,Bitter Springs,-1968.8,-21.3,1.6,-5.5,,,,819.74269005848
41,W1,dolostone,Bitter Springs,-1967.6,-20.1,1.7,-5.7,,,,819.508771929825
42,W1,dolostone,Bitter Springs,-1967.5,-20.0,1.7,-5.8,,,,819.4892787524371
43,W1,dolostone,Bitter Springs,-1966.0,-18.5,-1.3,-5.6,,,,819.1968810916185
44,W1,dolostone,Bitter Springs,-1965.3,-17.8,0.4,-4.4,,,,819.060428849903
45,W1,dolostone,Bitter Springs,-1963.8,-16.3,0.8,-2.7,,,,818.7680311890844
46,W1,dolostone,Bitter Springs,-1963.2,-15.7,1.0,-2.6,,,,818.6510721247569
47,W1,dolostone,Bitter Springs,-1961.9,-14.4,1.3,-3.1,,,,818.397660818714
48,W1,insoluble residue,Bitter Springs,-1961.9,-14.4,,,-27.0,28.3,,818.397660818714
49,W1,dolostone,Bitter Springs,-1961.3,-13.8,1.6,-3.3,,,,818.2807017543865
50,W1,,Bitter Springs,-1960.9,-13.4,,,,,,818.2027290448349
51,W1,dolostone,Bitter Springs,-1960.0,-12.5,1.9,-2.2,-27.6,29.5,,818.0272904483436
52,W1,dolostone,Bitter Springs,-1958.8,-11.3,2.0,-2.3,,,,817.7933723196886
53,W1,dolostone,Bitter Springs,-1958.1,-10.6,2.0,-2.6,,,,817.6569200779732
54,W1,dolostone,Bitter Springs,-1957.2,-9.7,2.2,-3.2,,,,817.481481481482
55,W1,dolostone,Bitter Springs,-1956.3,-8.8,2.6,-2.0,,,,817.3060428849907
56,W1,,Bitter Springs,-1955.4,-7.9,,,,,,817.1306042884995
57,W1,insoluble residue,Bitter Springs,-1955.3,-7.8,,,-28.3,32.4,0.109,817.1111111111115
58,W1,dolostone,Bitter Springs,-1954.2,-6.7,4.1,-2.7,,,,816.8966861598445
59,W1,dolostone,Bitter Springs,-1953.5,-6.0,4.2,-3.4,-27.0,,0.013999999999999999,816.7602339181291
60,W1,dolostone,Bitter Springs,-1952.0,-4.5,4.8,-5.0,-26.6,31.4,,816.4678362573104
61,W1,dolostone,Bitter Springs,-1951.3,-3.8,4.6,-4.5,,,,816.331384015595
62,W1,dolostone,Bitter Springs,-1950.6,-3.1,4.7,-2.5,,,,816.1949317738795
63,W1,dolostone,Bitter Springs,-1950.1,-2.6,4.4,-4.4,,,,816.09746588694
64,W1,insoluble residue,Bitter Springs,-1949.6,-2.1,,,-26.0,26.0,,816
65,W1,dolostone,Bitter Springs,-1947.5,0.0,6.5,-1.7,,,,809.5
66,W1,dolostone,Bitter Springs,-1947.1,0.4,6.6,-3.5,-26.5,33.1,,809.4618193465727
67,W1,dolostone,Bitter Springs,-1946.1,1.4,6.4,-5.8,-27.3,33.7,0.013999999999999999,809.3663677130045
68,W1,dolostone,Bitter Springs,-1938.2,9.3,4.8,-2.7,-25.3,30.1,0.006,808.6122998078155
69,W1,dolostone,Bitter Springs,-1937.0,10.5,1.3,-5.2,-29.1,,0.076,808.4977578475336
70,W1,insoluble residue,Bitter Springs,-1936.3,11.2,,,-27.5,28.8,,808.4309417040358
71,W1,dolostone,Bitter Springs,-1936.2,11.3,1.3,-6.3,,,,808.421396540679
72,W1,dolostone,Bitter Springs,-1935.6,11.9,1.5,-5.6,,,,808.364125560538
73,W1,dolostone,Bitter Springs,-1934.3,13.2,0.5,-5.3,,,,808.2400384368993
74,W1,insoluble residue,Bitter Springs,-1934.0,13.5,,,-25.7,26.2,,808.2114029468289
75,W1,dolostone,Bitter Springs,-1933.4,14.1,0.1,-5.4,,,,808.1541319666879
76,W1,dolostone,Bitter Springs,-1932.2,15.3,-0.7,-5.7,,,,808.0395900064061
77,W1,dolostone,Bitter Springs,-1931.3,16.2,-1.1,-5.8,,,,807.9536835361947
78,W1,insoluble residue,Bitter Springs,-1931.1,16.4,,,-27.2,26.1,,807.934593209481
79,W1,dolostone,Bitter Springs,-1930.6,16.9,-1.1,-5.7,,,,807.8868673926969
80,W1,dolostone,Bitter Springs,-1929.6,17.9,-1.5,-6.0,,,,807.7914157591287
81,W1,,Bitter Springs,-1929.1,18.4,,,,,,807.7436899423445
82,W1,dolostone,Bitter Springs,-1928.6,18.9,-1.8,-6.0,,,,807.6959641255604
83,W1,dolostone,Bitter Springs,-1928.3,19.2,-1.3,-5.6,,,,807.66732863549
84,W1,dolostone,Bitter Springs,-1927.3,20.2,-1.3,-5.5,,,,807.5718770019217
85,W1,dolostone,Bitter Springs,-1926.6,20.9,-1.3,-5.7,,,,807.5050608584239
86,W1,dolostone,Bitter Springs,-1926.0,21.5,-1.1,-5.7,,,,807.447789878283
87,W1,insoluble residue,Bitter Springs,-1924.1,23.4,,,-27.4,26.2,,807.2664317745033
88,W1,dolostone,Bitter Springs,-1923.1,24.4,-1.2,-5.2,,,,807.1709801409351
89,W1,dolostone,Bitter Springs,-1922.3,25.2,-1.1,-6.0,-30.7,29.6,0.063,807.0946188340805
90,W1,dolostone,Bitter Springs,-1920.7,26.8,-1.3,-5.7,,,,806.9418962203714
91,W1,dolostone,Bitter Springs,-1920.0,27.5,-1.5,-5.6,-30.0,28.6,0.034,806.8750800768736
92,W1,dolostone,Bitter Springs,-1919.3,28.2,-1.5,-5.8,,,,806.8082639333758
93,W1,dolostone,Bitter Springs,-1917.9,29.6,-1.5,-5.5,,,,806.6746316463802
94,W1,dolostone,Bitter Springs,-1917.2,30.3,-1.9,-5.5,,,,806.6078155028824
95,W1,dolostone,Bitter Springs,-1916.4,31.1,-1.6,-5.8,,,,806.5314541960279
96,W1,dolostone,Bitter Springs,-1914.6,32.9,-1.5,-5.7,,,,806.3596412556051
97,W1,dolostone,Bitter Springs,-1913.2,34.3,-2.1,-5.2,-30.1,28.0,0.053,806.2260089686096
98,W1,dolostone,Bitter Springs,-1912.6,34.9,-2.2,-5.5,,,,806.1687379884686
99,W1,dolostone,Bitter Springs,-1911.5,36.0,-2.3,-5.1,,,,806.0637411915435
100,W1,anhydrite,Bitter Springs,-1910.5,37.0,,,,,,805.9682895579753
101,W1,dolostone,Bitter Springs,-1910.4,37.1,-2.3,-5.6,,,,805.9587443946184
102,W1,anhydrite,Bitter Springs,-1910.3,37.2,,,,,,805.9491992312616
103,W1,dolostone,Bitter Springs,-1909.6,37.9,-2.4,-5.7,,,,805.8823830877637
104,W1,dolostone,Bitter Springs,-1908.4,39.1,-2.4,-5.5,,,,805.7678411274819
105,W1,insoluble residue,Bitter Springs,-1908.1,39.4,,,-28.4,26.0,,805.7392056374115
106,W1,dolostone,Bitter Springs,-1907.5,40.0,-2.8,-5.1,,,,805.6819346572705
107,W1,,Bitter Springs,-1906.8,40.7,,,,,,805.6151185137727
108,W1,dolostone,Bitter Springs,-1906.5,41.0,-3.2,-6.1,,,,805.5864830237023
109,W1,dolostone,Bitter Springs,-1905.9,41.6,-3.2,-6.0,,,,805.5292120435613
110,W1,dolostone,Bitter Springs,-1904.8,42.7,-2.6,-4.5,,,,805.4242152466362
111,W1,dolostone,Bitter Springs,-1904.0,43.5,-2.6,-5.5,,,,805.3478539397817
112,W1,anhydrite,Bitter Springs,-1902.5,45.1,,,,,,805.2046764894293
113,W1,dolostone,Bitter Springs,-1901.6,45.9,-3.2,-5.4,,,,805.1187700192179
114,W1,dolostone,Bitter Springs,-1901.1,46.4,-2.8,-5.9,,,,805.0710442024338
115,W1,insoluble residue,Bitter Springs,-1900.8,46.7,,,-29.1,26.3,,805.0424087123633
116,W1,dolostone,Bitter Springs,-1899.8,47.7,-3.5,-5.7,,,,804.9469570787951
117,W1,dolostone,Bitter Springs,-1898.6,48.9,-3.2,-6.0,,,,804.8324151185133
118,W1,dolostone,Bitter Springs,-1897.5,50.0,-2.9,-5.9,,,,804.7274183215882
119,W1,,Bitter Springs,-1896.7,50.8,,,,,,804.6510570147336
120,W1,dolostone,Bitter Springs,-1896.5,51.0,-2.9,-5.8,,,,804.6319666880199
121,W1,dolostone,Bitter Springs,-1896.3,51.2,-2.9,-5.9,-30.8,27.9,0.061,804.6128763613062
122,W1,,Bitter Springs,-1895.8,51.7,,,,,,804.5651505445221
123,W1,dolostone,Bitter Springs,-1895.2,52.3,-2.9,-6.0,,,,804.5078795643811
124,W1,dolostone,Bitter Springs,-1893.5,54.0,-3.2,-5.8,,,,804.3456117873152
125,W1,dolostone,Bitter Springs,-1891.9,55.6,-2.9,-5.1,,,,804.1928891736061
126,W1,insoluble residue,Bitter Springs,-1891.8,55.7,,,-30.9,28.0,,804.1833440102492
127,W1,dolostone,Bitter Springs,-1891.2,56.3,-2.9,-5.1,,,,804.1260730301083
128,W1,dolostone,Bitter Springs,-1890.7,56.8,-3.1,-5.3,,,,804.0783472133242
129,W1,dolostone,Bitter Springs,-1890.2,57.3,-3.0,-5.5,,,,804.03062139654
130,W1,dolostone,Bitter Springs,-1889.2,58.3,-3.1,-5.5,,,,803.9351697629718
131,W1,dolostone,Bitter Springs,-1888.2,59.3,-3.1,-4.8,,,,803.8397181294035
132,W1,dolostone,Bitter Springs,-1887.6,59.9,-3.1,-5.3,,,,803.7824471492626
133,W1,dolostone,Bitter Springs,-1886.2,61.3,-3.2,-5.0,,,,803.648814862267
134,W1,insoluble residue,Bitter Springs,-1886.1,61.4,,,-28.3,25.1,,803.6392696989102
135,W1,dolostone,Bitter Springs,-1885.9,61.6,-3.4,-5.6,,,,803.6201793721966
136,W1,dolostone,Bitter Springs,-1884.9,62.6,-3.7,-6.1,,,,803.5247277386284
137,W1,dolostone,Bitter Springs,-1883.2,64.3,-3.7,-5.3,,,,803.3624599615624
138,W1,dolostone,Bitter Springs,-1882.3,65.2,-3.1,-5.8,,,,803.276553491351
139,W1,limestone,Bitter Springs,-1882.0,65.5,-2.9,-9.8,,,,803.2479180012806
140,W1,dolostone,Bitter Springs,-1881.2,66.3,-3.5,-5.8,,,,803.171556694426
141,W1,dolostone,Bitter Springs,-1880.1,67.4,-4.1,-5.2,,,,803.066559897501
142,W1,dolostone,Bitter Springs,-1878.8,68.7,-4.2,-4.8,,,,802.9424727738623
143,W1,dolostone,Bitter Springs,-1878.3,69.2,-4.0,-5.1,,,,802.8947469570782
144,W1,dolostone,Bitter Springs,-1877.8,69.7,-4.1,-5.0,,,,802.847021140294
145,W1,dolostone,Bitter Springs,-1877.6,69.9,-3.4,-5.1,,,,802.8279308135803
146,W1,dolostone,Bitter Springs,-1876.4,71.1,-3.8,-5.3,-30.9,27.1,,802.7133888532985
147,W1,dolostone,Bitter Springs,-1874.9,72.6,-3.1,-4.6,,,,802.5702114029461
148,W1,dolostone,Bitter Springs,-1874.3,73.2,-3.1,-3.5,,,,802.5129404228052
149,W1,insoluble residue,Bitter Springs,-1874.2,73.3,,,-30.7,27.6,,802.5033952594483
150,W1,dolostone,Bitter Springs,-1872.8,74.7,-2.8,-3.2,,,,802.3697629724528
151,W1,dolostone,Bitter Springs,-1872.4,75.1,-3.1,-4.7,,,,802.3315823190255
152,W1,dolostone,Bitter Springs,-1871.3,76.2,-2.9,-4.7,,,,802.2265855221004
153,W1,,Bitter Springs,-1870.9,76.6,,,,,,802.1884048686732
154,W1,dolostone,Bitter Springs,-1870.6,76.9,-3.2,-4.9,,,,802.1597693786027
155,W1,,Bitter Springs,-1870.0,77.5,,,,,,802.1024983984618
156,W1,dolostone,Bitter Springs,-1869.3,78.2,-3.0,-4.2,,,,802.035682254964
157,W1,insoluble residue,Bitter Springs,-1868.8,78.7,,,-31.0,27.9,,801.9879564381798
158,W1,dolostone,Bitter Springs,-1868.1,79.4,-3.1,-3.7,,,,801.921140294682
159,W1,dolostone,Bitter Springs,-1867.1,80.4,-2.9,-4.9,,,,801.8256886611138
160,W1,dolostone,Bitter Springs,-1866.6,80.9,-3.2,-5.1,,,,801.7779628443296
161,W1,dolostone,Bitter Springs,-1865.9,81.6,-3.1,-3.5,,,,801.7111467008319
162,W1,dolostone,Bitter Springs,-1865.5,82.0,-3.4,-4.7,,,,801.6729660474047
163,W1,dolostone,Bitter Springs,-1865.0,82.5,-3.5,-5.0,,,,801.6252402306205
164,W1,insoluble residue,Bitter Springs,-1864.2,83.3,,,-29.9,26.4,,801.548878923766
165,W1,dolostone,Bitter Springs,-1862.8,84.7,-3.5,-4.7,,,,801.4152466367705
166,W1,dolostone,Bitter Springs,-1862.4,85.1,-3.8,-4.9,,,,801.3770659833432
167,W1,dolostone,Bitter Springs,-1861.3,86.2,-4.0,-4.9,,,,801.2720691864181
168,W1,dolostone,Bitter Springs,-1861.0,86.5,-3.6,-4.3,,,,801.2434336963477
169,W1,dolostone,Bitter Springs,-1859.8,87.7,-4.1,-5.0,-32.1,28.0,0.145,801.1288917360658
170,W1,dolostone,Bitter Springs,-1859.2,88.3,-3.9,-4.6,,,,801.0716207559249
171,W1,,Bitter Springs,-1859.0,88.5,,,,,,801.0525304292112
172,W1,,Bitter Springs,-1858.8,88.7,,,,,,801.0334401024975
173,W1,dolostone,Bitter Springs,-1857.6,89.9,-4.0,-4.9,,,,800.9188981422157
174,W1,dolostone,Bitter Springs,-1857.1,90.4,-3.6,-5.0,,,,800.8711723254315
175,W1,,Bitter Springs,-1857.0,90.5,,,,,,800.8616271620747
176,W1,insoluble residue,Bitter Springs,-1855.7,91.8,,,-31.5,28.0,,800.737540038436
177,W1,dolostone,Bitter Springs,-1855.2,92.3,-3.6,-4.6,,,,800.6898142216519
178,W1,dolostone,Bitter Springs,-1855.0,92.5,-3.5,-5.2,,,,800.6707238949382
179,W1,dolostone,Bitter Springs,-1853.7,93.8,-3.4,-4.8,,,,800.5466367712995
180,W1,dolostone,Bitter Springs,-1853.4,94.1,-3.1,-4.7,,,,800.5180012812291
181,W1,dolostone,Bitter Springs,-1850.2,97.3,,,,,,800.2125560538108
182,W1,dolostone,Bitter Springs,-1849.5,98.0,,,,,,800.145739910313
183,W1,dolostone,Bitter Springs,-1848.2,99.3,,,,,,800.0216527866743
184,W1,dolostone,Bitter Springs,-1846.2,101.3,-2.3,-3.6,,,,799.8307495195378
185,W1,dolostone,Bitter Springs,-1846.0,101.5,-3.1,-4.3,,,,799.8116591928241
186,W1,dolostone,Bitter Springs,-1845.4,102.1,-3.1,-4.6,,,,799.7543882126831
187,W1,dolostone,Bitter Springs,-1844.7,102.8,-3.0,-4.3,,,,799.6875720691853
188,W1,,Bitter Springs,-1844.5,103.0,,,,,,799.6684817424716
189,W1,insoluble residue,Bitter Springs,-1844.3,103.2,,,-31.0,28.0,,799.6493914157579
190,W1,dolostone,Bitter Springs,-1843.4,104.1,-3.1,-4.5,,,,799.5634849455465
191,W1,,Bitter Springs,-1842.8,104.7,,,,,,799.5062139654055
192,W1,dolostone,Bitter Springs,-1842.2,105.3,-2.9,-5.1,,,,799.4489429852646
193,W1,dolostone,Bitter Springs,-1841.4,106.1,-3.1,-5.3,,,,799.37258167841
194,W1,dolostone,Bitter Springs,-1840.7,106.8,-3.1,-4.1,,,,799.3057655349122
195,W1,dolostone,Bitter Springs,-1839.6,107.9,-3.1,-4.1,-31.0,27.9,,799.2007687379871
196,W1,dolostone,Bitter Springs,-1838.7,108.8,-3.4,-4.9,,,,799.1148622677757
197,W1,,Bitter Springs,-1838.6,108.9,,,,,,799.1053171044189
198,W1,dolostone,Bitter Springs,-1838.2,109.3,-2.9,-5.4,,,,799.0671364509916
199,W1,insoluble residue,Bitter Springs,-1837.2,110.3,,,-32.3,29.4,,798.9716848174234
200,W1,dolostone,Bitter Springs,-1836.6,110.9,-2.4,-3.5,,,,798.9144138372824
201,W1,dolostone,Bitter Springs,-1834.7,112.8,-2.5,-4.8,,,,798.7330557335027
202,W1,,Bitter Springs,-1834.6,112.9,,,,,,798.7235105701459
203,W1,dolostone,Bitter Springs,-1833.5,114.0,-2.4,-4.5,,,,798.6185137732208
204,W1,insoluble residue,Bitter Springs,-1833.3,114.2,,,-30.2,27.6,,798.5994234465071
205,W1,dolostone,Bitter Springs,-1833.2,114.3,-2.6,-4.4,,,,798.5898782831503
206,W1,dolostone,Bitter Springs,-1832.0,115.5,-2.6,-4.2,,,,798.4753363228684
207,W1,dolostone,Bitter Springs,-1831.7,115.8,-2.7,-3.8,,,,798.446700832798
208,W1,dolostone,Bitter Springs,-1831.2,116.3,-2.7,-4.3,,,,798.3989750160139
209,W1,dolostone,Bitter Springs,-1829.9,117.6,-2.9,-3.7,,,,798.2748878923752
210,W1,insoluble residue,Bitter Springs,-1829.1,118.4,,,-31.8,28.8,,798.1985265855207
211,W1,dolostone,Bitter Springs,-1828.5,119.0,-3.2,-4.5,,,,798.1412556053797
212,W1,dolostone,Bitter Springs,-1827.0,120.5,-3.6,-4.6,,,,797.9980781550273
213,W1,dolostone,Bitter Springs,-1826.8,120.7,-3.6,-4.5,,,,797.9789878283136
214,W1,insoluble residue,Bitter Springs,-1825.9,121.6,,,-28.9,26.2,,797.8930813581022
215,W1,dolostone,Bitter Springs,-1825.4,122.1,-2.7,-3.5,,,,797.8453555413181
216,W1,dolostone,Bitter Springs,-1824.7,122.8,-2.8,-4.0,,,,797.7785393978203
217,W1,dolostone,Bitter Springs,-1823.1,124.4,-2.6,-4.3,,,,797.6258167841111
218,W1,insoluble residue,Bitter Springs,-1823.0,124.5,,,-29.8,27.3,,797.6162716207542
219,W1,,Bitter Springs,-1822.2,125.3,,,,,,797.5399103138997
220,W1,dolostone,Bitter Springs,-1821.3,126.2,-2.5,-5.0,,,,797.4540038436883
221,W1,dolostone,Bitter Springs,-1820.9,126.6,-2.5,-4.8,-30.4,27.9,,797.415823190261
222,W1,dolostone,Bitter Springs,-1819.9,127.6,-2.2,-4.7,,,,797.3203715566927
223,W1,dolostone,Bitter Springs,-1818.5,129.0,-2.6,-4.9,,,,797.1867392696972
224,W1,insoluble residue,Bitter Springs,-1818.0,129.5,,,-29.8,27.2,,797.1390134529131
225,W1,dolostone,Bitter Springs,-1817.3,130.2,-2.8,-6.1,,,,797.0721973094153
226,W1,,Bitter Springs,-1817.1,130.4,,,,,,797.0531069827016
227,W1,insoluble residue,Bitter Springs,-1817.0,130.5,,,-28.3,25.5,,797.0435618193447
228,W1,dolostone,Bitter Springs,-1815.7,131.8,-2.4,-5.2,,,,796.9194746957061
229,W1,dolostone,Bitter Springs,-1814.4,133.1,-2.7,-6.0,,,,796.7953875720674
230,W1,insoluble residue,Bitter Springs,-1813.3,134.2,,,-29.7,27.0,,796.6903907751423
231,W1,insoluble residue,Bitter Springs,-1813.0,134.5,,,-30.0,27.5,,796.6617552850719
232,W1,dolostone,Bitter Springs,-1812.4,135.1,-2.5,-6.0,,,,796.6044843049309
233,W1,dolostone,Bitter Springs,-1811.0,136.5,-2.0,-5.9,,,,796.4708520179354
234,W1,dolostone,Bitter Springs,-1810.5,137.0,-2.4,-6.6,,,,796.4231262011513
235,W1,dolostone,Bitter Springs,-1809.6,137.9,-2.5,-5.7,,,,796.3372197309399
236,W1,dolostone,Bitter Springs,-1807.7,139.8,-3.5,-6.2,,,,796.1558616271602
237,W1,insoluble residue,Bitter Springs,-1807.6,139.9,,,-30.1,26.6,,796.1463164638034
238,W1,dolostone,Bitter Springs,-1805.7,141.8,-2.0,-6.1,,,,795.9649583600237
239,W1,dolostone,Bitter Springs,-1804.4,143.1,-2.5,-5.3,-30.4,27.9,0.016,795.840871236385
240,W1,dolostone,Bitter Springs,-1802.7,144.8,-2.3,-5.9,,,,795.6786034593191
241,W1,,Bitter Springs,-1801.7,145.9,,,,,,795.5831518257509
242,W1,dolostone,Bitter Springs,-1801.0,146.5,-2.0,-6.1,,,,795.516335682253
243,W1,,Bitter Springs,-1800.0,147.5,,,,,,795.4208840486848
244,W1,dolostone,Bitter Springs,-1799.2,148.3,-2.0,-5.5,,,,795.3445227418302
245,W1,dolostone,Bitter Springs,-1798.0,149.5,-2.1,-5.7,-29.8,27.8,0.03,795.2299807815484
246,W1,dolostone,Bitter Springs,-1796.7,150.8,-3.1,-7.5,,,,795.1058936579097
247,W1,,Bitter Springs,-1796.5,151.0,,,,,,795.086803331196
248,W1,dolostone,Bitter Springs,-1794.0,153.5,-1.8,-4.6,,,,794.8481742472754
249,W1,dolostone,Bitter Springs,-1793.0,154.5,-1.5,-4.3,-26.8,25.3,0.006999999999999999,794.7527226137072
250,W1,dolostone,Bitter Springs,-1791.4,156.1,-1.8,-4.5,,,,794.6
251,W1,insoluble residue,Bitter Springs,-1750.2,197.3,,,-26.7,32.4,,790.6393246187364
252,W1,dolostone,Bitter Springs,-1750.0,197.5,5.7,-2.5,,,,790.6200980392157
253,W1,dolostone,Bitter Springs,-1743.0,204.5,4.9,-2.5,,,,789.9471677559912
254,W1,insoluble residue,Bitter Springs,-1743.0,204.5,,,-27.2,32.1,,789.9471677559912
255,W1,dolostone,Bitter Springs,-1742.7,204.8,5.1,-2.6,,,,789.9183278867102
256,W1,insoluble residue,Bitter Springs,-1742.5,205.0,,,-26.3,31.8,,789.8991013071895
257,W1,dolostone,Bitter Springs,-1742.4,205.1,5.6,-3.4,,,,789.8894880174292
258,W1,limestone,Bitter Springs,-1741.3,206.2,5.0,-5.9,,,,789.7837418300654
259,W1,limestone,Bitter Springs,-1740.6,206.9,5.0,-6.0,,,,789.716448801743
260,W1,limestone,Bitter Springs,-1740.3,207.2,5.1,-6.1,,,,789.687608932462
261,W1,limestone,Bitter Springs,-1739.3,208.2,5.6,-5.5,,,,789.5914760348585
262,W1,limestone,Bitter Springs,-1738.5,209.0,5.1,-6.1,,,,789.5145697167757
263,W1,limestone,Bitter Springs,-1737.7,209.8,5.9,-5.7,,,,789.4376633986928
264,W1,insoluble residue,Bitter Springs,-1736.8,210.7,,,-25.9,31.3,,789.3511437908497
265,W1,limestone,Bitter Springs,-1735.7,211.8,5.5,-5.5,,,,789.2453976034859
266,W1,limestone,Bitter Springs,-1734.2,213.3,6.1,-4.9,,,,789.1011982570807
267,W1,limestone,Bitter Springs,-1733.6,213.9,5.9,-5.0,,,,789.0435185185186
268,W1,limestone,Bitter Springs,-1733.0,214.5,6.0,-5.1,,,,788.9858387799565
269,W1,insoluble residue,Bitter Springs,-1732.9,214.6,,,-26.3,32.3,,788.9762254901962
270,W1,limestone,Bitter Springs,-1732.0,215.5,5.8,-4.9,,,,788.889705882353
271,W1,limestone,Bitter Springs,-1730.9,216.6,5.4,-5.3,,,,788.7839596949892
272,W1,dolostone,Bitter Springs,-1729.6,217.9,5.3,-3.3,,,,788.6589869281047
273,W1,dolostone,Bitter Springs,-1728.8,218.7,5.0,-2.5,-27.9,32.9,,788.5820806100219
274,W1,insoluble residue,Bitter Springs,-1727.8,219.7,,,-26.7,31.6,,788.4859477124184
275,W1,dolostone,Bitter Springs,-1727.7,219.8,4.9,-2.7,,,,788.476334422658
276,W1,,Bitter Springs,-1727.1,220.4,,,,,,788.4186546840959
277,W1,limestone,Bitter Springs,-1726.4,221.1,4.8,-5.5,,,,788.3513616557735
278,W1,dolostone,Bitter Springs,-1723.3,224.2,3.8,-2.1,,,,788.0533496732027
279,W1,insoluble residue,Bitter Springs,-1723.3,224.2,,,-27.0,30.8,,788.0533496732027
280,W1,dolostone,Bitter Springs,-1721.2,226.3,4.1,-3.7,,,,787.8514705882353
281,W1,insoluble residue,Bitter Springs,-1721.2,226.3,,,-26.6,30.8,,787.8514705882353
282,W1,dolostone,Bitter Springs,-1720.3,227.2,3.9,-5.2,,,,787.7649509803922
283,W1,,Bitter Springs,-1719.2,228.3,,,,,,787.6592047930284
284,W1,dolostone,Bitter Springs,-1719.1,228.4,4.1,-2.6,,,,787.649591503268
285,W1,limestone,Bitter Springs,-1718.0,229.5,1.1,-11.7,,,,787.5438453159042
