,section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%,age
0,W1,dolostone,Bitter Springs,-2000.9,-53.4,-1.0,-6.1,,,,826
1,W1,dolostone,Bitter Springs,-2000.8,-53.3,-1.1,-4.9,,,,825.980506822612
2,W1,insoluble residue,Bitter Springs,-2000.7,-53.2,,,-27.6,26.5,,825.9610136452242
3,W1,insoluble residue,Bitter Springs,-1999.5,-52.0,,,-28.7,27.2,,825.7270955165692
4,W1,dolostone,Bitter Springs,-1997.6,-50.1,-1.3,-5.0,,,,825.3567251461988
5,W1,dolostone,Bitter Springs,-1997.6,-50.1,-1.5,-5.0,,,,825.3567251461988
6,W1,dolostone,Bitter Springs,-1996.7,-49.2,-1.0,-5.3,-29.0,27.9,0.036000000000000004,825.1812865497076
7,W1,dolostone,Bitter Springs,-1995.4,-47.9,-0.9,-5.5,,,,824.9278752436647
8,W1,dolostone,Bitter Springs,-1995.0,-47.5,-1.2,-5.6,,,,824.8499025341131
9,W1,dolostone,Bitter Springs,-1993.7,-46.2,-0.6,-5.3,,,,824.5964912280702
10,W1,dolostone,Bitter Springs,-1993.3,-45.8,-0.7,-5.8,,,,824.5185185185186
11,W1,insoluble residue,Bitter Springs,-1993.2,-45.7,,,-29.3,28.5,,824.4990253411307
12,W1,dolostone,Bitter Springs,-1991.5,-44.0,0.1,-5.3,,,,824.1676413255362
13,W1,dolostone,Bitter Springs,-1990.9,-43.4,-0.3,-5.5,,,,824.0506822612087
14,W1,dolostone,Bitter Springs,-1990.3,-42.8,-0.6,-5.5,,,,823.9337231968813
15,W1,dolostone,Bitter Springs,-1988.6,-41.1,-0.8,-5.2,-30.0,29.3,,823.6023391812868
16,W1,dolostone,Bitter Springs,-1988.1,-40.6,0.4,-5.1,,,,823.5048732943472
17,W1,dolostone,Bitter Springs,-1986.4,-38.9,-0.5,-5.6,,,,823.1734892787528
18,W1,dolostone,Bitter Springs,-1985.5,-38.0,0.2,-4.9,,,,822.9980506822615
19,W1,dolostone,Bitter Springs,-1984.2,-36.7,-0.4,-4.7,,,,822.7446393762186
