,sample,formation,section_strat,strat_m,d13C,d18O,87Sr/86Sr,87Sr/86Sr_filtered,Ba_ppm,Mn_ppm,Fe_ppm,Mg_ppm,Ca_ppm,Sr_ppm,Na_ppm,Mn/Sr,Mg/Ca,age
48,H119-226.8,Coates Lake,210.0,210.0,-2.01,-2.35,,,,,,,,,,,,733.0747198007472
49,H119-228.9,Coates Lake,213.0,213.0,0.13,-3.65,,,,,,,,,,,,733
50,H119-230.7,Coates Lake,215.0,215.0,0.47,-3.42,,,,,,,,,,,,732.9359487590073
51,H119-234.9,Coates Lake,216.0,216.0,1.6,-3.2,,,,,,,,,,,,732.9039231385109
52,H119-238.6,Coates Lake,219.7,219.7,2.01,-3.59,,,,,,,,,,,,732.7854283426742
53,H119-240.6,Coates Lake,221.7,221.7,2.81,-3.62,,,,,,,,,,,,732.7213771016815
54,H119-243.1,Coates Lake,224.2,224.2,2.94,-3.35,,,,,,,,,,,,732.6413130504404
55,H119-244.6,Coates Lake,225.7,225.7,3.24,-3.63,,,,,,,,,,,,732.5932746196959
56,H119-246.0,Coates Lake,227.1,227.1,3.33,-3.3,,,,,,,,,,,,732.548438751001
57,H119-247.5,Coates Lake,228.6,228.6,3.33,-3.51,,,,,,,,,,,,732.5004003202564
58,H119-249.0,Coates Lake,230.1,230.1,3.35,-3.4,,,,,,,,,,,,732.4523618895118
59,H119-250.5,Coates Lake,231.6,231.6,3.38,-3.92,,,,,,,,,,,,732.4043234587673
60,H119-254.9,Coates Lake,236.0,236.0,3.81,-4.18,,,,,,,,,,,,732.2634107285832
61,H119-256.6,Coates Lake,237.7,237.7,4.17,-3.97,,,,,,,,,,,,732.2089671737393
62,H119-258.6,Coates Lake,239.7,239.7,3.19,-4.05,,,,,,,,,,,,732.1449159327466
63,H119-268.6,Coates Lake,249.7,249.7,4.88,-4.52,,,,,,,,,,,,731.8246597277827
64,H119-270.1,Coates Lake,251.2,251.2,5.21,-4.0,,,,,,,,,,,,731.7766212970381
65,H119-271.1,Coates Lake,252.2,252.2,4.6,-3.67,,,,,,,,,,,,731.7445956765417
66,H119-273.0,Coates Lake,254.1,254.1,5.01,-3.46,,,,,,,,,,,,731.6837469975986
67,H119-273.9,Coates Lake,255.0,255.0,5.17,-4.15,,,,,,,,,,,,731.6549239391519
68,H119-275.1,Coates Lake,256.2,256.2,5.93,-2.34,,,,,,,,,,,,731.6164931945563
