,section,strat_height,d13C,d18O,strat_m,note,age
0,T6,34.7,6.21,-16.18,-465.3,,815
1,T6,35.7,6.0,-15.3,-464.3,,814.9847410272943
2,T6,37.2,6.06,-14.19,-462.8,,814.9618525682356
3,T6,38.0,5.97,-15.94,-462.0,,814.9496453900709
4,T6,41.0,6.16,-14.69,-459.0,,814.9038684719536
5,T6,42.1,5.44,-16.26,-457.9,,814.8870836019772
6,T1,479.9,-3.55,-10.22,-0.5,mtx,807.9076294863529
7,T1,480.4,-1.91,-10.09,0.0,mtx,807.9
8,T1,480.8,-0.86,-7.09,0.4,mtx,807.8886363636364
9,T1,483.2,,,2.8,mtx,807.8204545454545
10,T1,486.1,-2.66,-12.48,5.7,mtx,807.7380681818181
11,T1,491.9,-2.05,-10.98,11.5,mtx,807.5732954545454
12,T1,492.3,-2.1,-10.64,11.9,mtx,807.5619318181817
13,T1,494.3,-2.24,-10.25,13.9,mtx,807.5051136363636
14,T1,497.7,-2.31,-9.83,17.3,mtx,807.4085227272727
15,T1,500.6,-2.3,-9.66,20.2,mtx,807.3261363636364
16,T1,506.2,,,25.8,mtx,807.1670454545455
17,T1,506.5,,,26.1,mtx,807.1585227272727
18,T1,506.8,,,26.4,mtx,807.15
19,T1,507.3,,,26.9,mtx,807.1357954545455
20,T1,507.9,,,27.5,mtx,807.11875
21,T1,508.5,-2.24,-8.78,28.1,mtx,807.1017045454545
22,T1,509.0,,,28.6,mtx,807.0875
23,T1,513.4,,,33.0,mtx,806.9625
24,T1,513.7,,,33.3,mtx,806.9539772727272
25,T1,514.1,-2.04,-8.37,33.7,mtx,806.9426136363636
26,T1,514.2,,,33.8,mtx,806.9397727272727
27,T1,516.5,-2.04,-7.92,36.1,mtx,806.8744318181818
28,T1,519.2,-2.32,-8.23,38.8,mtx,806.7977272727273
29,T1,519.5,,,39.1,mtx,806.7892045454546
30,T1,520.8,,,40.4,mtx,806.7522727272727
31,T1,522.9,,,42.5,mtx,806.6926136363636
32,T1,526.9,-2.92,-7.65,46.5,mtx,806.5789772727272
33,T1,528.3,-2.72,-8.08,47.9,mtx,806.5392045454545
34,T1,528.8,,,48.4,mtx,806.525
35,T1,530.0,,,49.6,mtx,806.4909090909091
36,T1,531.6,,,51.2,mtx,806.4454545454546
37,T1,532.2,,,51.8,mtx,806.4284090909091
38,T1,535.5,,,55.1,mtx,806.3346590909091
39,T1,536.1,-2.49,-7.74,55.7,mtx,806.3176136363636
40,T1,540.6,-2.12,-8.04,60.2,mtx,806.1897727272727
41,T1,543.3,-2.12,-7.42,62.9,mtx,806.1130681818182
42,T1,545.8,-1.98,-8.26,65.4,mtx,806.0420454545455
43,T1,546.1,-2.18,-7.86,65.7,mtx,806.0335227272727
44,T1,548.8,,,68.4,mtx,805.9568181818182
45,T1,548.9,,,68.5,mtx,805.9539772727273
46,T1,549.1,,,68.7,mtx,805.9482954545455
47,T1,552.3,-1.91,-8.38,71.9,mtx,805.8573863636364
48,T1,552.6,-2.18,-8.76,72.2,mtx,805.8488636363636
49,T1,556.2,-2.06,-8.88,75.8,mtx,805.7465909090909
50,T1,558.8,,,78.4,mtx,805.6727272727272
51,T1,558.9,,,78.5,mtx,805.6698863636364
52,T1,559.0,,,78.6,mtx,805.6670454545455
53,T1,559.1,,,78.7,mtx,805.6642045454546
54,T1,559.15,,,78.8,mtx,805.6613636363637
55,T1,559.25,,,78.9,mtx,805.6585227272728
56,T1,562.7,-2.26,-9.83,82.3,mtx,805.561931818182
57,T1,565.9,-2.17,-9.24,85.5,mtx,805.4710227272728
58,T1,568.8,-2.36,-10.09,88.4,mtx,805.3886363636365
59,T1,569.1,-2.23,-9.02,88.7,mtx,805.3801136363637
60,T1,571.0,,,90.6,mtx,805.3261363636365
61,T1,573.1,-1.91,-9.13,92.7,mtx,805.2664772727273
62,T1,576.0,-2.0,-11.28,95.6,mtx,805.184090909091
63,T1,578.4,-2.18,-10.75,98.0,mtx,805.1159090909091
64,T1,580.0,,,99.6,mtx,805.0704545454546
65,T1,580.1,,,99.7,mtx,805.0676136363637
66,T1,580.12,,,99.7,mtx,805.0676136363637
67,T1,580.3,,,99.9,mtx,805.0619318181818
68,T1,580.4,,,100.0,mtx,805.059090909091
69,T1,580.55,,,100.2,mtx,805.0534090909091
70,T1,584.9,,,104.5,mtx,804.93125
71,T1,585.7,,,105.3,mtx,804.9085227272727
72,T1,585.8,,,105.4,mtx,804.9056818181818
73,T1,588.2,-2.25,-11.36,107.8,mtx,804.8375
74,T1,593.5,-2.52,-11.33,113.1,mtx,804.6869318181818
75,T1,593.7,-2.38,-10.51,113.3,mtx,804.68125
76,T1,597.5,-2.23,-11.18,117.1,mtx,804.5732954545455
77,T1,600.4,,,120.0,mtx,804.4909090909091
78,T1,601.4,,,121.0,mtx,804.4625
79,T1,601.6,,,121.2,mtx,804.4568181818181
80,T1,605.1,-2.51,-8.44,124.7,mtx,804.3573863636362
81,T1,606.9,-2.34,-9.36,126.5,mtx,804.3062499999999
82,T1,607.8,-2.52,-9.32,127.4,mtx,804.2806818181817
83,T1,609.3,,,128.9,mtx,804.2380681818181
84,T1,609.4,,,129.0,mtx,804.2352272727272
85,T1,610.6,,,130.2,mtx,804.2011363636364
86,T1,610.8,,,130.4,mtx,804.1954545454545
87,T1,614.6,-1.9,-7.91,134.2,mtx,804.0875
88,T1,616.4,,,136.0,mtx,804.0363636363636
89,T1,617.0,-1.87,-8.48,136.6,mtx,804.0193181818181
90,T1,617.0,-2.03,-8.27,136.6,mts,804.0193181818181
91,T1,617.4,,,137.0,mtx,804.0079545454545
92,T1,618.9,-2.1,-10.22,138.5,mtx,803.9653409090909
93,T1,622.8,-1.9,-11.71,142.4,mtx,803.8545454545454
94,T1,623.2,-2.04,-10.98,142.8,mtx,803.8431818181817
95,T1,627.6,-1.89,-10.71,147.2,mtx,803.7181818181817
96,T1,632.2,-1.87,-10.66,151.8,mtx,803.5874999999999
97,T1,636.6,-1.92,-10.42,156.2,mtx,803.4624999999999
98,T1,638.4,-2.19,-11.89,158.0,mtx,803.4113636363635
99,T1,639.0,,,158.6,mtx,803.394318181818
100,T1,639.1,,,158.7,mtx,803.3914772727271
101,T1,639.25,,,158.9,mtx,803.3857954545452
102,T1,639.3,,,158.9,mtx,803.3857954545452
103,T1,639.6,,,159.2,mtx,803.3772727272725
104,T1,639.75,,,159.4,mtx,803.3715909090906
105,T1,643.4,-1.79,-13.33,163.0,mtx,803.2693181818179
106,T1,645.8,,,165.4,mtx,803.201136363636
107,T1,645.85,,,165.5,mtx,803.1982954545451
108,T1,645.9,,,165.5,mtx,803.1982954545451
109,T1,646.2,,,165.8,mtx,803.1897727272724
110,T1,646.25,,,165.9,mtx,803.1869318181815
111,T1,646.45,,,166.1,mtx,803.1812499999996
112,T1,646.6,-2.13,-16.37,166.2,mtx,803.1784090909088
113,T1,647.0,-2.09,-15.51,166.6,mtx,803.1670454545451
114,T1,649.2,-2.02,-11.95,168.8,mtx,803.1045454545451
115,T1,649.3,-2.02,-12.37,168.9,mtx,803.1017045454543
116,T1,650.1,-1.73,-7.94,169.7,mtx,803.078977272727
117,T1,650.8,-1.7,-7.8,170.4,mtx,803.0590909090906
118,T1,651.4,-2.87,-7.81,171.0,mtx,803.0420454545451
119,T1,654.8,-1.45,-4.68,174.4,mtx,802.9454545454543
120,T1,657.9,-1.36,-4.09,177.5,mtx,802.8573863636361
121,T1,660.7,-1.75,-5.21,180.3,mtx,802.7778409090906
122,T1,662.6,-1.34,-5.42,182.2,mtx,802.7238636363634
123,T1,666.3,-1.59,-5.36,185.9,mtx,802.6187499999997
124,T1,670.2,-0.93,-6.47,189.8,mtx,802.5079545454543
125,T1,672.8,-0.57,-4.59,192.4,mtx,802.4340909090906
126,T1,676.1,-0.52,-5.25,195.7,mtx,802.3403409090906
127,T1,680.3,-0.63,-4.97,199.9,mtx,802.2210227272725
128,T1,683.6,-0.49,-5.09,203.2,mtx,802.1272727272725
129,T1,689.3,-1.7,-6.63,208.9,mtx,801.9653409090906
130,T1,694.1,-2.62,-5.87,213.7,mtx,801.828977272727
131,T1,698.2,-1.53,-7.14,217.8,mtx,801.7124999999997
132,T1,703.2,-1.61,-10.98,222.8,mtx,801.5704545454543
133,T1,706.3,-1.98,-16.28,225.9,mtx,801.4823863636361
134,T1,709.2,-1.97,-8.06,228.8,mtx,801.3999999999997
135,T1,709.3,-1.64,-9.37,228.9,mtx,801.3971590909089
136,T1,710.6,,,230.2,mtx,801.360227272727
137,T1,710.65,,,230.3,mtx,801.3573863636361
138,T1,711.0,,,230.6,mtx,801.3488636363634
139,T1,711.3,-0.87,-8.47,230.9,mtx,801.3403409090906
140,T1,713.1,-0.94,-7.47,232.7,mtx,801.2892045454543
141,T1,713.2,,,232.8,mtx,801.2863636363634
142,T1,713.8,,,233.4,mtx,801.2693181818179
143,T1,714.1,-1.33,-15.4,233.7,mtx,801.2607954545451
144,T1,714.1,,,233.7,mtx,801.2607954545451
145,T1,714.4,,,234.0,mtx,801.2522727272724
146,T1,714.6,,,234.2,mtx,801.2465909090905
147,T1,714.8,,,234.4,mtx,801.2409090909086
148,T1,715.0,-1.18,-7.65,234.6,mtx,801.2352272727268
149,T1,715.3,,,234.9,mtx,801.226704545454
150,T1,715.35,,,235.0,mtx,801.2238636363631
151,T1,715.75,,,235.4,mtx,801.2124999999995
152,T1,718.3,,,237.9,mtx,801.1414772727268
153,T1,719.0,,,238.6,mtx,801.1215909090904
154,T1,719.2,,,238.8,mtx,801.1159090909085
155,T1,721.5,-0.74,-12.12,241.1,mtx,801.0505681818177
156,T1,721.5,,,241.1,mtx,801.0505681818177
157,T1,722.6,,,242.2,mtx,801.0193181818177
158,T1,724.6,,,244.2,mtx,800.9624999999995
159,T1,726.55,,,246.2,mtx,800.9056818181814
160,T1,726.7,,,246.3,mtx,800.9028409090905
161,T1,727.1,,,246.7,mtx,800.8914772727269
162,T1,727.9,-0.91,-8.48,247.5,mtx,800.8687499999996
163,T1,729.2,,,248.8,mtx,800.8318181818178
164,T1,732.1,-1.16,-11.38,251.7,mtx,800.7494318181814
165,T1,732.5,,,252.1,mtx,800.7380681818178
166,T1,732.7,,,252.3,mtx,800.7323863636359
167,T1,733.2,,,252.8,mtx,800.7181818181814
168,T1,734.4,,,254.0,mtx,800.6840909090905
169,T1,734.5,,,254.1,mtx,800.6812499999996
170,T1,734.6,-1.4,-12.86,254.2,mtx,800.6784090909088
171,T1,735.95,,,255.6,mtx,800.638636363636
172,T1,736.1,,,255.7,mtx,800.6357954545451
173,T1,736.2,,,255.8,mtx,800.6329545454543
174,T1,736.25,,,255.9,mtx,800.6301136363634
175,T1,736.5,,,256.1,mtx,800.6244318181815
176,T1,736.6,,,256.2,mtx,800.6215909090906
177,T1,736.65,,,256.3,mtx,800.6187499999997
178,T1,944.3,,,463.9,mtx,794.7210227272725
179,T1,946.7,0.21,-15.5,466.3,mtx,794.6528409090906
180,T1,949.2,-0.23,-16.27,468.8,mtx,794.5818181818179
181,T1,951.8,0.87,-14.76,471.4,mtx,794.5079545454543
182,T1,952.0,0.95,-15.96,471.6,mtx,794.5022727272724
183,T1,952.3,-0.97,-15.92,471.9,mtx,794.4937499999996
184,T1,952.4,0.88,-15.46,472.0,mtx,794.4909090909088
185,T1,957.7,1.31,-15.23,477.3,mtx,794.3403409090906
186,T1,965.0,1.96,-15.66,484.6,mtx,794.1329545454543
187,T1,965.6,2.16,-15.2,485.2,mtx,794.1159090909088
188,T1,966.6,2.24,-15.31,486.2,mtx,794.0874999999996
189,T1,966.7,2.36,-14.49,486.3,mtx,794.0846590909088
190,T1,967.2,1.96,-13.93,486.8,mtx,794.0704545454543
191,T1,968.1,2.55,-15.3,487.7,mtx,794.0448863636361
192,T1,969.4,2.74,-14.56,489.0,mtx,794.0079545454543
193,T1,970.0,2.28,-14.54,489.6,mtx,793.9909090909088
194,T1,976.5,1.73,-14.34,496.1,mtx,793.8062499999996
195,T1,977.4,2.57,-13.54,497.0,mtx,793.7806818181815
196,T1,978.0,2.23,-14.26,497.6,mtx,793.763636363636
197,T1,978.3,2.77,-13.76,497.9,mtx,793.7551136363633
198,T1,978.6,1.98,-13.1,498.2,mtx,793.7465909090905
199,T1,980.2,2.14,-13.54,499.8,mtx,793.701136363636
200,T1,980.6,2.51,-14.25,500.2,mtx,793.6897727272724
201,T1,982.6,2.47,-13.66,502.2,mtx,793.6329545454543
202,T1,983.3,2.45,-12.89,502.9,mtx,793.6130681818179
203,T1,984.1,1.83,-13.63,503.7,mtx,793.5903409090906
204,T1,992.7,2.01,-13.62,512.3,mtx,793.3460227272725
205,T3,1.0,2.95,-10.52,651.0,mtx,789.4056818181816
206,T1,1135.8,3.3,-12.87,655.4,mtx,789.2806818181816
207,T1,1137.0,3.37,-11.93,656.6,mtx,789.2465909090907
208,T3,8.7,4.16,-10.46,658.7,mtx,789.1869318181816
209,T1,1139.2,2.77,-12.32,658.8,mtx,789.1840909090907
210,T3,17.3,0.94,-7.32,667.3,mtx,788.9426136363635
211,T1,1151.2,3.39,-11.83,670.8,mtx,788.8431818181816
212,T3,39.4,1.63,-10.19,689.4,mtx,788.3147727272725
213,T3,46.0,1.34,-7.8,696.0,mtx,788.1272727272725
214,T1,1176.6,5.76,-11.34,696.2,mtx,788.1215909090906
215,T3,48.9,1.93,-11.03,698.9,mtx,788.0448863636361
216,T3,54.7,3.54,-10.74,704.7,mtx,787.8801136363634
217,T3,57.3,3.37,-8.87,707.3,mtx,787.8062499999997
218,T3,60.7,4.96,-11.81,710.7,mtx,787.7096590909089
219,T3,64.3,3.54,-8.61,714.3,mtx,787.6073863636361
220,T3,65.6,4.52,-9.22,715.6,mtx,787.5704545454543
221,T3,68.2,4.47,-9.78,718.2,mtx,787.4965909090906
222,T3,69.7,4.89,-9.47,719.7,mtx,787.453977272727
223,T1,1202.0,,,721.6,,787.4
224,T3,72.8,5.51,-10.58,722.8,mtx,787.3795963398014
225,T3,74.7,6.05,-10.76,724.7,mtx,787.347290544487
226,T3,77.0,5.37,-9.95,727.0,mtx,787.3081835291064
227,T3,79.4,5.91,-9.28,729.4,mtx,787.2673762087092
228,T3,81.3,6.09,-9.95,731.3,mtx,787.2350704133947
229,T3,83.3,5.95,-9.68,733.3,mtx,787.2010643130637
230,T3,84.5,6.35,-10.06,734.5,mtx,787.1806606528652
231,T1,1222.7,-0.3,-10.48,742.3,mtx,787.0480368615744
232,T3,94.0,5.47,-9.36,744.0,mtx,787.019131676293
233,T3,96.7,4.86,-8.04,746.7,mtx,786.9732234408461
234,T1,1227.5,4.74,-10.27,747.1,mtx,786.9664222207799
235,T3,98.5,5.2,-8.12,748.5,mtx,786.9426179505482
236,T1,1231.5,5.61,-12.1,751.1,mtx,786.8984100201179
237,T3,102.0,5.19,-8.93,752.0,mtx,786.883107274969
238,T1,1233.3,5.85,-12.58,752.9,mtx,786.8678045298201
239,T3,103.5,5.89,-8.69,753.5,mtx,786.8576026997208
240,T1,1235.0,6.0,-11.7,754.6,mtx,786.8388993445387
241,T3,105.4,5.85,-9.26,755.4,mtx,786.8252969044063
242,T1,1236.5,5.92,-11.29,756.1,mtx,786.8133947692904
243,T3,108.0,6.01,-9.15,758.0,mtx,786.781088973976
244,T3,109.1,6.35,-8.94,759.1,mtx,786.7623856187939
245,T1,1240.8,6.13,-12.32,760.4,mtx,786.7402816535788
246,T3,110.9,6.15,-9.08,760.9,mtx,786.7317801284961
247,T3,113.3,5.68,-8.83,763.3,mtx,786.6909728080989
248,T1,1243.9,5.72,-10.97,763.5,mtx,786.6875721980658
249,T3,114.9,6.09,-8.8,764.9,mtx,786.6637679278341
250,T1,1246.7,4.81,-9.86,766.3,mtx,786.6399636576024
251,T3,116.7,5.86,-8.84,766.7,mtx,786.6331624375362
252,T3,118.4,6.02,-8.27,768.4,mtx,786.6042572522548
253,T3,121.2,6.06,-8.48,771.2,mtx,786.5566487117915
254,T3,123.2,5.88,-7.63,773.2,mtx,786.5226426114605
255,T3,125.6,5.84,-8.82,775.6,mtx,786.4818352910632
256,T3,127.1,5.78,-8.61,777.1,mtx,786.456330715815
257,T3,129.9,5.55,-8.58,779.9,mtx,786.4087221753517
258,T3,131.1,6.18,-8.51,781.1,mtx,786.3883185151532
259,T3,134.1,5.71,-8.17,784.1,mtx,786.3373093646567
260,T3,137.3,5.64,-8.67,787.3,mtx,786.2828996041271
261,T3,138.3,5.64,-7.98,788.3,mtx,786.2658965539616
262,T3,139.9,4.69,-8.37,789.9,mtx,786.2386916736968
263,T3,142.5,4.53,-7.85,792.5,mtx,786.1944837432666
264,T3,144.7,5.14,-8.09,794.7,mtx,786.1570770329025
265,T3,146.2,5.25,-8.32,796.2,mtx,786.1315724576543
266,T3,148.6,5.4,-8.3,798.6,mtx,786.0907651372571
267,T3,150.8,5.05,-8.01,800.8,mtx,786.053358426893
268,T3,154.4,4.75,-7.7,804.4,mtx,785.9921474462973
269,T3,157.7,5.06,-8.54,807.7,mtx,785.9360373807511
270,T3,164.0,4.85,-7.51,814.0,mtx,785.8289181647086
271,T3,166.4,4.8,-8.06,816.4,mtx,785.7881108443114
272,T3,168.4,4.08,-7.07,818.4,mtx,785.7541047439804
273,T3,170.6,2.79,-5.74,820.6,mtx,785.7166980336164
274,T3,173.0,5.11,-8.35,823.0,mtx,785.6758907132191
275,T3,176.6,5.25,-7.38,826.6,mtx,785.6146797326234
276,T3,178.3,4.75,-7.3,828.3,mtx,785.585774547342
277,T3,180.2,4.49,-7.44,830.2,mtx,785.5534687520276
278,T3,182.5,5.26,-7.93,832.5,mtx,785.514361736647
279,T3,185.0,4.8,-7.88,835.0,mtx,785.4718541112333
280,T3,187.0,5.4,-7.86,837.0,mtx,785.4378480109023
281,T3,188.8,4.53,-7.77,838.8,mtx,785.4072425206044
282,T3,191.2,4.54,-8.13,841.2,mtx,785.3664352002072
283,T3,193.8,5.74,-7.19,843.8,mtx,785.3222272697769
