,section,strat_height,d13C,d18O,strat_m,note,age
284,T3,195.1,,,845.1,mtx,785.3001233045618
285,T3,198.2,4.85,-7.74,848.2,mtx,785.2474138490488
286,T3,199.6,5.18,-8.38,849.6,mtx,785.2236095788171
287,T3,201.5,5.9,-7.86,851.5,mtx,785.1913037835027
288,T3,203.5,5.57,-8.69,853.5,mtx,785.1572976831717
289,T3,207.3,5.4,-7.94,857.3,mtx,785.0926860925429
290,T3,209.9,3.46,-6.73,859.9,mtx,785.0484781621126
291,T3,212.4,5.37,-8.22,862.4,mtx,785.0059705366989
292,T3,214.6,4.99,-7.76,864.6,mtx,784.9685638263348
293,T3,216.4,5.5,-7.85,866.4,mtx,784.937958336037
294,T3,218.4,5.66,-7.91,868.4,mtx,784.903952235706
295,T3,220.3,5.64,-8.19,870.3,mtx,784.8716464403916
296,T3,222.4,4.81,-7.94,872.4,mtx,784.8359400350441
297,T3,223.7,5.37,-8.12,873.7,mtx,784.813836069829
298,T3,225.9,4.67,-8.28,875.9,mtx,784.7764293594649
299,T3,227.6,5.56,-8.78,877.6,mtx,784.7475241741836
300,T3,229.9,5.53,-8.58,879.9,mtx,784.708417158803
301,T3,231.5,4.25,-7.36,881.5,mtx,784.6812122785382
302,T3,237.5,4.68,-8.52,887.5,mtx,784.5791939775453
303,T3,239.1,5.34,-8.65,889.1,mtx,784.5519890972805
304,T3,240.6,4.09,-6.59,890.6,mtx,784.5264845220323
305,T7,2.4,5.72,-12.75,892.4,,784.4958790317345
306,T3,246.3,4.9,-8.98,896.3,mtx,784.4295671360891
307,T3,248.3,5.21,-8.39,898.3,mtx,784.3955610357581
308,T7,13.1,4.9,-10.28,903.1,,784.3139463949638
309,T3,254.5,3.59,-6.86,904.5,mtx,784.290142124732
310,T3,258.8,4.59,-8.38,908.8,mtx,784.2170290090204
311,T7,21.3,4.85,-8.85,911.3,,784.1745213836067
312,T3,262.9,4.55,-8.91,912.9,mtx,784.1473165033419
313,T3,264.5,5.02,-8.99,914.5,mtx,784.1201116230772
314,T3,266.8,4.28,-7.87,916.8,mtx,784.0810046076965
315,T3,268.3,4.89,-8.59,918.3,mtx,784.0555000324483
316,T3,270.7,4.07,-8.13,920.7,mtx,784.0146927120511
317,T7,32.1,5.35,-8.98,922.1,,783.9908884418194
318,T3,277.5,5.08,-8.92,927.5,mtx,783.8990719709258
319,T3,280.1,4.88,-9.13,930.1,mtx,783.8548640404955
320,T7,40.5,5.82,-8.91,930.5,,783.8480628204293
321,T3,281.3,5.33,-8.88,931.3,mtx,783.8344603802968
322,T7,42.5,5.5,-9.59,932.5,,783.8140567200983
323,T3,288.7,5.6,-8.8,938.7,mtx,783.7086378090722
324,T7,50.0,5.07,-9.15,940.0,,783.6865338438571
325,T3,290.1,5.39,-8.54,940.1,mtx,783.6848335388405
326,T3,299.7,5.52,-9.47,949.7,mtx,783.5216042572519
327,T7,63.8,5.4,-10.82,953.8,,783.4518917515734
328,T3,304.7,5.15,-8.98,954.7,mtx,783.4365890064245
329,T3,308.4,4.68,-9.0,958.4,mtx,783.3736777208121
330,T3,313.6,4.84,-9.09,963.6,mtx,783.2852618599516
331,T7,74.2,5.56,-10.01,964.2,,783.2750600298523
332,T7,74.5,5.6,-9.5,964.5,mtx,783.2699591148026
333,T7,74.5,,,964.5,mts,783.2699591148026
334,T3,316.2,4.05,-8.23,966.2,mtx,783.2410539295213
335,T3,318.7,4.47,-8.05,968.7,mtx,783.1985463041076
336,T3,321.9,4.79,-8.98,971.9,mtx,783.144136543578
337,T3,322.2,5.52,-8.97,972.2,mtx,783.1390356285284
338,T3,322.2,,,972.2,mts,783.1390356285284
339,T3,322.9,5.53,-8.6,972.9,mtx,783.1271334934125
340,T3,322.9,5.53,-8.6,972.9,mts,783.1271334934125
341,T3,323.1,4.64,-8.15,973.1,mtx,783.1237328833795
342,T7,84.6,5.03,-9.24,974.6,,783.0982283081313
343,T3,326.6,4.75,-9.08,976.6,mtx,783.0642222078003
344,T3,327.2,4.22,-8.17,977.2,mtx,783.054020377701
345,T3,330.1,3.94,-7.86,980.1,mtx,783.0047115322211
346,T7,90.7,4.916,-8.612,980.7,,782.9945097021218
347,T7,90.7,5.2139999999999995,-8.714,980.7,mts,782.9945097021218
348,T3,332.9,5.32,-8.88,982.9,mtx,782.9571029917578
349,T7,93.6,5.03,-7.97,983.6,,782.9452008566419
350,T3,334.5,5.24,-8.85,984.5,mtx,782.929898111493
351,T3,336.3,5.13,-9.62,986.3,mtx,782.8992926211952
352,T3,337.2,5.16,-8.8,987.2,mtx,782.8839898760463
353,T3,337.2,5.16,-8.8,987.2,mts,782.8839898760463
354,T3,337.7,5.44,-9.9,987.7,mtx,782.8754883509636
355,T3,341.0,5.56,-8.96,991.0,mtx,782.8193782854174
356,T3,343.1,5.53,-8.95,993.1,mtx,782.78367188007
357,T7,103.4,4.92,-8.55,993.4,,782.7785709650203
358,T3,344.9,5.76,-8.48,994.9,mtx,782.7530663897721
359,T3,344.9,5.76,-8.48,994.9,mts,782.7530663897721
360,T3,345.0,5.45,-8.97,995.0,mtx,782.7513660847555
361,T3,348.9,5.68,-8.67,998.9,mtx,782.6850541891101
362,T3,350.3,5.48,-8.92,1000.3,mtx,782.6612499188784
363,T3,351.6,5.33,-8.88,1001.6,mtx,782.6391459536633
364,T3,358.5,5.36,-8.24,1008.5,mtx,782.5218249075214
365,T7,119.3,5.36,-10.49,1009.3,,782.5082224673889
366,T7,119.8,5.642,-9.613999999999999,1009.8,,782.4997209423062
367,T3,362.8,5.15,-7.78,1012.8,mtx,782.4487117918097
368,T3,362.8,5.38,-8.55,1012.8,mtx,782.4487117918097
369,T3,362.8,5.15,-7.78,1012.8,mts,782.4487117918097
370,T3,363.2,,,1013.2,mtx,782.4419105717435
371,T3,363.6,1.57,-5.46,1013.6,mtx,782.4351093516773
372,T3,364.7,4.46,-6.86,1014.7,mtx,782.4164059964952
373,T7,124.9,5.64,-9.39,1014.9,mtx,782.4130053864621
374,T7,124.9,,,1014.9,mts,782.4130053864621
375,T3,365.0,,,1015.0,mtx,782.4113050814456
376,T3,368.1,5.08,-8.03,1018.1,mtx,782.3585956259326
377,T7,128.2,5.99,-9.9,1018.2,,782.356895320916
378,T3,371.1,5.08,-8.07,1021.1,mtx,782.3075864754361
379,T3,373.1,5.45,-7.81,1023.1,mtx,782.2735803751051
380,T3,374.4,5.18,-8.58,1024.4,mtx,782.25147640989
381,T3,377.3,5.03,-7.85,1027.3,mtx,782.20216756441
382,T7,139.7,5.66,-9.51,1029.7,,782.1613602440128
383,T3,380.1,5.04,-8.19,1030.1,mtx,782.1545590239466
384,T7,141.4,5.587999999999999,-8.812999999999999,1031.4,,782.1324550587315
385,T3,382.5,4.81,-8.06,1032.5,mtx,782.1137517035494
386,T3,383.1,5.83,-7.28,1033.1,mtx,782.1035498734501
387,T3,384.0,4.75,-7.32,1034.0,mtx,782.0882471283012
388,T3,384.0,4.75,-7.32,1034.0,mts,782.0882471283012
389,T3,385.4,5.07,-7.96,1035.4,mtx,782.0644428580695
390,T3,388.0,5.02,-8.35,1038.0,mtx,782.0202349276392
391,T3,389.5,5.27,-8.24,1039.5,mtx,781.994730352391
392,T3,391.1,5.1,-9.02,1041.1,mtx,781.9675254721262
393,T7,152.6,5.74,-8.57,1042.6,,781.942020896878
394,T3,393.9,5.32,-7.91,1043.9,mtx,781.9199169316629
395,T3,395.1,5.53,-7.58,1045.1,mtx,781.8995132714643
396,T3,397.6,5.6,-8.44,1047.6,mtx,781.8570056460507
397,T3,400.8,5.38,-8.43,1050.8,mtx,781.8025958855211
398,T7,161.3,5.53,-10.99,1051.3,,781.7940943604384
399,T3,403.8,5.47,-8.71,1053.8,mtx,781.7515867350247
400,T3,405.5,5.02,-8.63,1055.5,mtx,781.7226815497434
401,T3,408.4,5.25,-7.79,1058.4,mtx,781.6733727042634
402,T3,410.2,5.38,-8.71,1060.2,mtx,781.6427672139656
403,T3,411.7,5.45,-7.76,1061.7,mtx,781.6172626387174
404,T7,174.0,5.47,-8.37,1064.0,,781.5781556233368
405,T3,414.7,5.5,-8.82,1064.7,mtx,781.5662534882209
406,T3,417.1,5.29,-8.58,1067.1,mtx,781.5254461678237
407,T3,418.7,5.34,-8.56,1068.7,mtx,781.4982412875589
408,T7,180.6,4.407,-7.386,1070.6,mts,781.4659354922445
409,T7,180.6,5.744,-7.4910000000000005,1070.6,,781.4659354922445
410,T3,421.9,5.26,-7.89,1071.9,mtx,781.4438315270294
411,T7,184.4,5.45,-8.53,1074.4,,781.4013239016157
412,T3,424.5,,,1074.5,mtx,781.3996235965991
413,T3,425.7,5.86,-5.79,1075.7,mtx,781.3792199364005
414,T3,425.7,,,1075.7,mts,781.3792199364005
415,T3,426.7,5.49,-7.83,1076.7,mtx,781.362216886235
416,T3,429.1,5.02,-7.95,1079.1,mtx,781.3214095658378
417,T3,432.6,5.84,-7.81,1082.6,mtx,781.2618988902586
418,T3,433.1,5.32,-4.89,1083.1,mtx,781.2533973651759
419,T3,433.1,5.32,-4.89,1083.1,mts,781.2533973651759
420,T3,434.2,5.42,-7.74,1084.2,mtx,781.2346940099939
421,T7,195.1,5.105,-8.513,1085.1,,781.219391264845
422,T7,196.8,5.58,-9.43,1086.8,,781.1904860795636
423,T3,437.3,5.65,-7.14,1087.3,mtx,781.1819845544809
424,T3,440.8,5.76,-6.74,1090.8,mtx,781.1224738789017
425,T3,443.6,5.98,-6.21,1093.6,mtx,781.0748653384384
426,T3,446.4,5.89,-6.47,1096.4,mtx,781.027256797975
427,T3,449.5,5.59,-7.0,1099.5,mtx,780.9745473424621
428,T7,210.3,5.47,-9.99,1100.3,,780.9609449023296
429,T3,450.7,5.51,-7.25,1100.7,mtx,780.9541436822634
430,T7,211.3,5.61,-9.39,1101.3,mtx,780.9439418521641
